symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
AEFES,2020/3,2020-05-06 19:29:36,-0.003767794445280499,-0.001866158554513472,-0.01718801743176261,1.0190108906704365,1.3040246518816303,,,-12687229.0,738143829.0,6798580415.0,3431297729.0,3367282686.0,1527526400.0,1991932082.0,1903771329.0,738143829.0,-39520080.0,42462339.0,216341336.0,81982419.0,3431297729.0
AEFES,2020/6,2020-08-12 21:05:30,0.01083054890754932,0.005395060402840531,0.02190027986188432,1.0074935401737064,1.2639236547079302,,,39148713.0,1787589622.0,7256399387.0,3641742980.0,3614656407.0,1732189483.0,2189355262.0,1909553497.0,1787589622.0,117664637.0,273092968.0,617794551.0,155428331.0,3641742980.0
AEFES,2020/9,2020-11-05 18:56:21,0.02835079285146236,0.013788642321553997,0.03107936951033553,1.056097488811153,1.3251482101410856,,,93792846.0,3017849058.0,6802181376.0,3493884268.0,3308297108.0,1640424017.0,2173804950.0,1853460251.0,3017849058.0,345705319.0,571578543.0,1117427265.0,225873224.0,3493884268.0
AEFES,2020/12,2021-02-25 23:48:21,0.03257117174889025,0.016114259445711033,0.028805873561325714,1.021263953123169,1.2535822738925892,,,109618174.0,3805410510.0,6802557348.0,3437060557.0,3365496791.0,1687422202.0,2115322561.0,1749638355.0,3805410510.0,380796147.0,675785229.0,1414916621.0,294989082.0,3437060557.0
AEFES,2021/3,2021-05-05 22:31:20,0.010881926908580941,0.005377855484443634,0.04254531317220475,1.0234695667083393,1.2297270061050976,0.12683800002343446,-3.789249882697002,35387852.0,831768516.0,6580290620.0,3328306638.0,3251983982.0,1618421614.0,1990216766.0,1709885023.0,831768516.0,15784382.0,88579301.0,263594245.0,72794919.0,3328306637.0
AEFES,2021/6,2021-08-12 21:05:59,0.02563860350206856,0.011115203767012903,0.038947856702952435,1.3066246952806582,1.187808518799756,0.17320044947094687,1.0864410536305498,81681482.0,2097200948.0,7348626594.0,4162747847.0,3185878747.0,2283929093.0,2712870433.0,1878818754.0,2097200948.0,198708554.0,337681105.0,744155948.0,138972551.0,4162747847.0
AEFES,2021/9,2021-11-04 18:52:36,0.043184312049886334,0.0202207397771828,0.0407343817487775,1.1356445180481052,1.191961701216862,0.15852730199735524,0.5184314910329089,142418011.0,3496260527.0,7043165214.0,3745254370.0,3297910844.0,1903269661.0,2268624543.0,1841984710.0,3496260527.0,408832140.0,615427698.0,1263503349.0,206595558.0,3745254371.0
AEFES,2021/12,2022-02-23 21:51:41,0.027160826028062718,0.012492889808047285,0.018176529673000066,1.1741027452725223,1.005809865507506,0.1566530721018059,-0.27015096967406155,80004718.0,4401539757.0,6404020145.0,3458427919.0,2945592226.0,1836395866.0,1847065079.0,1622032053.0,4401539757.0,453581387.0,722373187.0,1584541961.0,268791800.0,3458427919.0
AEFES,2022/3,2022-05-09 19:22:01,-0.0032818719634422123,-0.0013512060569749798,-0.009136092874478223,1.4288463972619554,1.1794920649538243,0.18459527145651183,-1.2543775474137282,-9001875.0,985309051.0,6662103795.0,3919195144.0,2742908651.0,2086329321.0,2460808879.0,1832865823.0,985309051.0,84785970.0,145785825.0,342458061.0,60999855.0,3919195144.0
AEFES,2022/6,2022-08-10 20:32:02,0.022995457330381476,0.00968313226462382,0.030132606769535688,1.3747953350170237,1.0368985216175692,0.22670441354387563,-0.0509413137239601,77520520.0,2572645659.0,8005727680.0,4634604467.0,3371123213.0,2799785099.0,2903093030.0,1834819368.0,2572645659.0,329753803.0,456637881.0,913871869.0,126884078.0,4634604467.0
AEFES,2022/9,2022-11-02 19:13:38,0.05499847383625833,0.023644739691326723,0.04254718347647282,1.3260342280880628,1.151933678812998,0.2231745769442198,0.27760950123085204,181954604.0,4276536991.0,7695352386.0,4386995057.0,3308357329.0,2604328297.0,3000013476.0,1782666760.0,4276536991.0,660857926.0,845824196.0,1575646941.0,184966270.0,4386995057.0
AEFES,2022/12,2023-02-28 19:11:11,0.11418937909707004,0.05735135288370253,0.08800171944665731,0.9910494409543232,1.2392080827508487,1.120287097749825,9.265375936954118,821278507.0,9332527957.0,14320124386.0,7127874866.0,7192249520.0,3697359545.0,4581797833.0,3430515321.0,9332527957.0,1006089511.0,1524399077.0,3223327744.0,518309566.0,7127874866.0
AEFES,2023/3,2023-05-03 20:00:35,0.007262041725813405,0.002908673479737094,0.008956069225232371,1.4966850959392661,1.1879274608360795,1.4126893857184308,-3.3651481496910365,21290768.0,2377244689.0,7319751821.0,4387963654.0,2931788167.0,2621568236.0,3114232898.0,1766395418.0,2377244689.0,186626381.0,326284661.0,808433749.0,139658280.0,4387963654.0
AEFES,2023/6,2023-08-08 18:45:30,0.04443896396333761,0.0173896073440394,0.023110401336768085,1.555489786752998,1.2180606327657049,1.1329210568908743,0.6358578606025863,126812552.0,5487250098.0,7292433319.0,4438799015.0,2853634304.0,2695025010.0,3282703869.0,1743774005.0,5487250098.0,705935432.0,971520805.0,2001969812.0,265585373.0,4438799015.0
AEFES,2023/9,2023-11-01 19:18:39,0.09867180698500529,0.04097076074858692,0.03622515753203242,1.4083469572482488,1.2297655480191345,0.8857891623460997,0.6055824121933183,292143112.0,8064647110.0,7130526909.0,4169771239.0,2960755670.0,2653167432.0,3262773901.0,1516603807.0,8064647110.0,1196276515.0,1551976793.0,3042324915.0,355700278.0,4169771239.0
AEFES,2023/12,2024-03-21 23:35:12,0.170382647375406,0.08343437415905593,0.11183492922476244,1.0421157237974292,1.1481671683751626,0.03799184011380937,0.31910767999679307,1083354786.0,9687087867.0,12984513840.0,6626150458.0,6358363382.0,3842955651.0,4412355508.0,2783194807.0,9687087867.0,1179951004.0,1638707571.0,3574867795.0,458756567.0,6626150458.0
AEFES,2024/3,2024-05-23 18:54:11,0.021420949895191062,0.010321360063965493,0.04997029250336495,1.0753999242771382,1.092791096936428,-0.1826093948211151,3.560622143832482,97099148.0,1943137475.0,9407592352.0,4874686553.0,4532905799.0,2951672510.0,3225561440.0,1923014043.0,1943137475.0,130508816.0,238256023.0,695876403.0,107747207.0,4874686553.0
AEFES,2024/6,2024-08-20 20:15:49,0.046558812386331666,0.021548700762186592,0.04864278144918675,1.1606319981960365,1.1162306267000157,-0.16152559409002537,0.7648212457706868,223801486.0,4600918766.0,10385845925.0,5578990369.0,4806855556.0,3463075021.0,3865590401.0,2115915348.0,4600918766.0,547710976.0,766255640.0,1780581054.0,218544664.0,5578990369.0
AEFES,2024/9,2024-11-05 20:09:45,0.07936067648162305,0.03888295645821848,0.053731960426746016,1.0410144626450855,1.1864013779516096,-0.08072949468460995,0.3635332398321272,398346844.0,7413592224.0,10244767381.0,5225318686.0,5019448695.0,3088243136.0,3663895912.0,2137075550.0,7413592224.0,1003328748.0,1335496561.0,2935799442.0,332167813.0,5225318686.0
AEFES,2024/12,2025-03-05 20:41:33,0.07726518614048634,0.03724108387449803,0.05273374581269298,1.074729790214691,1.1301638102139309,-0.08873968387634942,-0.5703116171953663,465504966.0,8827458752.0,12499769544.0,6474999667.0,6024769877.0,3808854375.0,4304629373.0,2666145291.0,8827458752.0,1020160560.0,1457206873.0,3472456856.0,437046313.0,6474999666.0
AEFES,2025/3,2025-05-07 21:23:32,0.00948309914920277,0.004821609149963449,0.03727971729805379,0.9667913458465747,0.9896696487443661,-0.37053270458900495,-0.5303937270386759,45598369.0,1223141491.0,9457085297.0,4648702691.0,4808382606.0,2668332888.0,2640768072.0,1980369803.0,1223141491.0,20957782.0,98676823.0,388164323.0,77719041.0,4648702691.0
AEFES,2025/6,2025-08-12 23:43:08,0.030393604046930815,0.01492350445655345,0.04981204261252817,1.0366264594453243,1.0159281506333615,-0.35403680674330773,-0.3385093296476146,148042595.0,2972024178.0,9920095875.0,5049248878.0,4870846997.0,2991508625.0,3039157825.0,2057740252.0,2972024178.0,260050987.0,418706708.0,1055841538.0,158655721.0,5049248877.0
AEFES,2025/9,2025-11-05 19:42:34,0.05449683827943168,0.028098514835362024,0.05708882885626282,0.9394917704455206,1.049239302985885,-0.34149469211486,-0.30035501172440565,278701373.0,4881889830.0,9918722560.0,4804639215.0,5114083345.0,2776958054.0,2913693533.0,2027681162.0,4881889830.0,583205613.0,830624760.0,1821253771.0,247419147.0,4804639216.0
