symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
AKCNS,2020/3,2020-05-05 18:38:44,-0.026312821243955967,-0.011701591840325425,-0.059565804346327814,1.2486531407870571,1.030439308917147,,,-3750052.0,62956457.0,320473663.0,177955612.0,142518051.0,129207894.0,133140893.0,48747718.0,62956457.0,-1567871.0,2518625.0,3234327.0,4086496.0,177955612.0
AKCNS,2020/6,2020-08-10 19:38:47,0.008599838147335954,0.004058683797334345,0.009799239033949492,1.1188736421188412,1.1441135751882079,,,1270651.0,129668334.0,313069720.0,165316823.0,147752897.0,110390801.0,126299614.0,54926021.0,129668334.0,8600136.0,16292267.0,16742898.0,7692131.0,165316822.0
AKCNS,2020/9,2020-11-03 18:16:12,0.06496138912118175,0.03269566793201688,0.04634104087714857,0.9868500463226365,1.2432059294667714,,,9477905.0,204525078.0,289882593.0,143982003.0,145900590.0,95331068.0,118516149.0,48650936.0,204525078.0,22047632.0,33197718.0,33327354.0,11150086.0,143982004.0
AKCNS,2020/12,2021-02-19 20:17:29,0.09530937006511946,0.047306824456412606,0.05529558680426627,1.0147065705696492,1.2376257251230725,,,15478008.0,279913984.0,327183407.0,164785859.0,162397548.0,112708281.0,139490668.0,52077578.0,279913984.0,31597373.0,45973113.0,47234834.0,14375740.0,164785859.0
AKCNS,2021/3,2021-05-04 19:22:51,0.021509709438164177,0.010145686566458393,0.04185993046491269,1.1200841727638806,1.1166728991982835,0.13115552230011926,-1.7949207104328153,2980994.0,71213544.0,293818854.0,155230557.0,138588297.0,107909601.0,120499727.0,47320957.0,71213544.0,6492178.0,10042217.0,10269263.0,3550039.0,155230558.0
AKCNS,2021/6,2021-08-06 18:42:01,0.07562390229595689,0.035948197528883424,0.0690622544721615,1.103691074780456,0.9694610173182647,0.19834319765379263,7.44558261867342,10731388.0,155387166.0,298523674.0,156618963.0,141904711.0,134449960.0,130343995.0,22169003.0,155387166.0,21378557.0,28274678.0,28506442.0,6896121.0,156618963.0
AKCNS,2021/9,2021-10-28 22:20:03,0.09582186413589693,0.0473730115652488,0.059384640718619944,1.0227099981582872,1.000110953872065,0.192718797056271,0.5284330239646842,14486343.0,243940905.0,305793162.0,154613229.0,151179933.0,132775898.0,132790630.0,21837331.0,243940905.0,30193944.0,40324267.0,40438288.0,10130323.0,154613229.0
AKCNS,2021/12,2022-02-18 19:34:55,0.19682413290720258,0.08666910325840203,0.0706758529920828,1.2709838311139416,0.9994168103368558,0.14935543556123299,0.46904446618712176,22737882.0,321720659.0,262352801.0,146828949.0,115523852.0,134525704.0,134447250.0,12303244.0,321720659.0,33220936.0,45414731.0,47160756.0,12193795.0,146828948.0
AKCNS,2022/3,2022-04-27 20:28:59,0.0612513067650291,0.02579252949749164,0.07925916807534854,1.374769273653285,1.012810381662171,0.24625485567745373,1.359705856502898,7034269.0,88750225.0,272725054.0,157882296.0,114842758.0,146266212.0,148139938.0,11616083.0,88750225.0,9149113.0,11246503.0,12164898.0,2097390.0,157882295.0
AKCNS,2022/6,2022-07-29 19:24:50,0.18342844095667718,0.07308709541998011,0.0906247034823979,1.509724047763056,1.2086710045336924,0.4198986999994581,0.8632160164183794,19994894.0,220634035.0,273576257.0,164569748.0,109006509.0,132740814.0,160439973.0,31828934.0,220634035.0,32106911.0,36136647.0,38213626.0,4029736.0,164569748.0
AKCNS,2022/9,2022-10-27 18:14:07,0.3963586583530716,0.1823380815629166,0.16937308874619647,1.1737568748978322,1.2350400877744765,0.5121892410786949,3.312969808874469,62479160.0,368884812.0,342655574.0,185022686.0,157632888.0,155890420.0,192530918.0,29132266.0,368884812.0,52753110.0,58542459.0,62211877.0,5789349.0,185022686.0
AKCNS,2022/12,2023-02-17 19:02:29,0.17062083404213185,0.10413372668022756,0.10287273801921516,0.6384781327001963,1.1255359770484812,2.12111379829046,3.5429592782652315,103297272.0,1004126788.0,991967495.0,386547456.0,605420039.0,347904123.0,391578607.0,38643333.0,1004126788.0,51042941.0,97511890.0,84258235.0,46468949.0,386547456.0
