symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
ALKA,2020/3,2020-05-05 18:15:30,0.13378034937509453,0.078238491294574,0.21130477733805528,0.709904513258073,2.3338824884608154,,,2962056.0,14017932.0,37859319.0,15718130.0,22141189.0,14363883.0,33523615.0,1354247.0,14017932.0,2504203.0,2679293.0,3294252.0,175090.0,15718130.0
ALKA,2020/6,2020-08-07 18:19:31,0.2643716150364657,0.18678202956597062,0.21705921389394006,0.4154017288433666,3.466931941826565,,,6608727.0,30446655.0,35382028.0,10384159.0,24997869.0,9036152.0,31327724.0,1348006.0,30446655.0,6559978.0,6889830.0,8104870.0,329852.0,10384158.0
ALKA,2020/9,2020-10-30 18:17:22,0.37028259295884297,0.26131297402695053,0.21945009241135066,0.41700806987353745,3.4507841444129888,,,9546925.0,43503855.0,36534447.0,10751639.0,25782808.0,9578529.0,33053436.0,1173110.0,43503855.0,8835816.0,9310918.0,11066623.0,475102.0,10751639.0
ALKA,2020/12,2021-02-24 18:15:28,0.4001999704129034,0.28657569430911284,0.19858868437668586,0.3964895424886513,3.6327588351018827,,,11267296.0,56736848.0,39316998.0,11162833.0,28154165.0,9810300.0,35638454.0,1352532.0,56736848.0,11379795.0,11989606.0,14219315.0,609811.0,11162832.0
ALKA,2021/3,2021-04-30 18:14:26,0.12648309170021116,0.068346175663741,0.19394530241117616,0.8506242737340599,2.1514589321472912,0.03577831594560453,-0.04931473273969162,2815983.0,14519470.0,41201764.0,18938053.0,22263711.0,17698527.0,38077654.0,1239526.0,14519470.0,1588307.0,1741614.0,2299150.0,153307.0,18938053.0
ALKA,2021/6,2021-08-09 18:48:51,0.17889949315130882,0.12357303207080747,0.12780420730457007,0.4477228209577177,3.3363121964838793,0.04579176267475031,-0.38423905239238965,4069396.0,31840861.0,32931101.0,10184273.0,22746828.0,8968634.0,29922163.0,1215640.0,31840861.0,3392098.0,3660451.0,4781385.0,268353.0,10184274.0
ALKA,2021/9,2021-11-01 18:16:45,0.22392415091725282,0.17427817647417354,0.09911383399489763,0.28486627211431936,5.029598001486086,0.21885354757641592,-0.44950923988614133,5255494.0,53024828.0,30155778.0,6685804.0,23469974.0,5375194.0,27035065.0,1310610.0,53024828.0,5078502.0,5475192.0,7059252.0,396690.0,6685804.0
ALKA,2021/12,2022-02-23 18:16:00,0.5333411190871089,0.32375926765794194,0.17577483776652927,0.6473385393575648,2.598598592464139,0.38429732649230003,0.22526939915308872,13805473.0,78540667.0,42641167.0,16756283.0,25884884.0,15664965.0,40706956.0,1091318.0,78540667.0,14947384.0,15439554.0,17448313.0,492170.0,16756283.0
ALKA,2022/3,2022-05-05 18:13:00,0.27076347255870287,0.1354976583937004,0.26684376507536894,0.9982889429127673,2.018405159188521,0.6943723152429118,1.3312381502303103,6564727.0,24601388.0,48449007.0,24203761.0,24245246.0,23078203.0,46581164.0,1125558.0,24601388.0,7087316.0,7173028.0,7607771.0,85712.0,24203761.0
ALKA,2022/6,2022-08-08 18:18:21,0.5051702440982387,0.2861225802535811,0.28174627928849044,0.7655727962837563,2.31421805268826,0.754054577858306,2.8668394523413303,15735701.0,55850608.0,54996362.0,23847059.0,31149303.0,22824933.0,52821872.0,1022126.0,55850608.0,17902167.0,18053462.0,19085973.0,151295.0,23847059.0
ALKA,2022/9,2022-10-31 18:13:09,0.6206967261878721,0.448962442054721,0.25373022069603907,0.3825136983556846,3.520368722062249,0.6556441823818835,3.238429156231555,22275039.0,87790248.0,49614482.0,13727328.0,35887154.0,12443736.0,43806539.0,1283592.0,87790248.0,26363781.0,26580631.0,28434291.0,216850.0,13727328.0
ALKA,2022/12,2023-02-27 19:21:32,0.3645324806812716,0.2759580369275853,0.12048538237017363,0.320970698080916,3.8801546479260223,1.7165035153062806,0.8620353681471109,25706279.0,213355998.0,93152855.0,22634368.0,70518487.0,19144130.0,74282185.0,3490238.0,213355998.0,55458017.0,57759325.0,60742099.0,2301308.0,22634368.0
ALKA,2023/3,2023-05-02 18:25:18,0.027631001040947723,0.019081553689270916,0.02520902527134573,0.4480477883451653,2.881998742059988,0.47341804454285263,-0.8608045696340457,913780.0,36248129.0,47888134.0,14817309.0,33070825.0,13786031.0,39731324.0,1031279.0,36248129.0,1232147.0,1354217.0,3034332.0,122070.0,14817310.0
ALKA,2023/6,2023-08-08 18:28:27,0.22335750555587103,0.14992480239082406,0.08851241799016664,0.48979693064271346,2.6497513266177646,0.3900429696306977,-0.5633090003425968,6871639.0,77634745.0,45833904.0,15068701.0,30765203.0,14270124.0,37812280.0,798578.0,77634745.0,9987790.0,11016423.0,14406141.0,1028633.0,15068702.0
ALKA,2023/9,2023-10-30 18:13:50,0.33981167462197626,0.259458383834648,0.09896614874184234,0.30969622936953145,3.572161988559996,0.32904544249607315,-0.4816127594658757,11547096.0,116677229.0,44504617.0,10523748.0,33980869.0,9778493.0,34930361.0,745254.0,116677229.0,17062136.0,18558197.0,23577472.0,1496061.0,10523747.0
ALKA,2023/12,2024-03-25 20:15:16,0.07177898432284625,0.0533970477451685,0.03061657521366793,0.3442500541491265,2.874857166413044,-0.32135426537200046,-0.8275491369248735,4433070.0,144793138.0,83020882.0,21260883.0,61759999.0,19964667.0,57395566.0,1296216.0,144793138.0,25447171.0,27417327.0,33060661.0,1970156.0,21260883.0
ALKA,2024/3,2024-06-11 18:16:28,-0.05101066483686111,-0.03608671467194484,-0.08128407765559387,0.4135580406892815,2.4773731672487345,-0.26474472654850684,-3.370759920330933,-2166353.0,26651628.0,60031871.0,17563242.0,42468629.0,16067715.0,39805726.0,1495528.0,26651628.0,2635932.0,3038432.0,4461888.0,402500.0,17563243.0
ALKA,2024/6,2024-09-20 18:16:19,-0.0376349937135537,-0.026042675231878788,-0.03364927508909262,0.4451278121945543,2.5196868601868974,-0.33944490962133,-1.251119565506861,-1725603.0,51282026.0,66260589.0,20409565.0,45851024.0,15477176.0,38997637.0,4932390.0,51282026.0,3436948.0,4228692.0,7722265.0,791744.0,20409566.0
ALKA,2024/9,2024-11-08 18:18:43,-0.015134484714718508,-0.010337748573991936,-0.009193177210595765,0.464002012275126,2.279894222790986,-0.3164912752598881,-1.0634925872271261,-733155.0,79749904.0,70920181.0,22477501.0,48442680.0,16589585.0,37822499.0,5887916.0,79749904.0,4623973.0,5918847.0,10865572.0,1294874.0,22477501.0
ALKA,2024/12,2025-03-03 20:10:38,-0.08390973663876967,-0.0578769316949076,-0.04799904653220258,0.4497958717143365,1.88588894899165,-0.281506841850475,-2.1264155540065914,-4993479.0,104032879.0,86277535.0,26767409.0,59510126.0,22123221.0,41721938.0,4644188.0,104032879.0,5965300.0,7561319.0,13883317.0,1596019.0,26767409.0
ALKA,2025/3,2025-04-30 18:16:02,-0.02033085004484837,-0.01290085100682362,-0.059508505764934494,0.5759309237890443,1.525818081208511,-0.38679704669448334,-0.5510708550268585,-972539.0,16342857.0,75385647.0,27550018.0,47835629.0,23153386.0,35327855.0,4396632.0,16342857.0,278229.0,578475.0,1755482.0,300246.0,27550018.0
ALKA,2025/6,2025-08-11 20:01:45,-0.007462050778629787,-0.004784452033901135,-0.010589940197082232,0.5596458335076128,1.3061143753206685,-0.33149207092559096,-0.7896103564956714,-363049.0,34282441.0,75880999.0,27228288.0,48652711.0,23803789.0,31090471.0,3424498.0,34282441.0,402610.0,1017413.0,3348100.0,614803.0,27228287.0
ALKA,2025/9,2025-10-30 18:14:22,0.0009730317502960681,0.0006287004716032738,0.0009058068535557225,0.5476873039165961,1.1962516291941279,-0.3186689353256149,-1.0671317797737176,49218.0,54336087.0,78285292.0,27703181.0,50582111.0,24442299.0,29239140.0,3260881.0,54336087.0,837266.0,1793693.0,5474302.0,956427.0,27703180.0
