symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
ASELS,2020/3,2020-06-02 18:53:09,0.06348185158545908,0.03506144517019737,0.32939722952786943,0.8105885622575452,1.7164420531310496,,,139806579.0,424431557.0,3987473372.0,1785165539.0,2202307833.0,1245837727.0,2138408266.0,539327813.0,424431557.0,90739855.0,101515710.0,122992681.0,10775855.0,1785165540.0
ASELS,2020/6,2020-08-18 18:38:23,0.12211381393691097,0.06818269758167982,0.3328027604177325,0.790979504596809,1.7782368294907631,,,268634965.0,807189714.0,3939928670.0,1740054992.0,2199873678.0,1226660637.0,2181293122.0,513394355.0,807189714.0,175660778.0,196643369.0,239904676.0,20982591.0,1740054992.0
ASELS,2020/9,2020-10-27 18:58:35,0.18343437522049902,0.1034111365156726,0.30767353941161557,0.7738357917833965,1.919919245396465,,,384800546.0,1250678062.0,3721074528.0,1623318611.0,2097755917.0,1053060956.0,2021791996.0,570257655.0,1250678062.0,238140836.0,269691150.0,332606463.0,31550314.0,1623318611.0
ASELS,2020/12,2021-02-23 18:45:37,0.24583272622651756,0.13049440126553052,0.26120635692418953,0.8838565018577987,1.5904736004790303,,,598585440.0,2291618960.0,4587058404.0,2152128567.0,2434929837.0,1657508712.0,2636223849.0,494619856.0,2291618960.0,518243296.0,558868864.0,655280771.0,40625568.0,2152128568.0
ASELS,2021/3,2021-04-27 18:32:42,0.06380499291061649,0.035919156273829904,0.34522136656204055,0.7763499902031687,1.699829838876048,0.009600775278827817,0.05810167202503396,147929575.0,428506429.0,4118403391.0,1799939455.0,2318463936.0,1360619245.0,2312821192.0,439320209.0,428506429.0,89704335.0,102769917.0,125822528.0,13065582.0,1799939454.0
ASELS,2021/6,2021-08-10 19:17:30,0.12512909186850538,0.07109716327499474,0.3302194600839552,0.7599730584889524,1.560642087071078,0.09516802514656425,0.08666705021068274,291916765.0,884008365.0,4105884842.0,1772960015.0,2332924827.0,1420528525.0,2216936602.0,352431491.0,884008365.0,216262034.0,240983855.0,326448419.0,24721821.0,1772960016.0
ASELS,2021/9,2021-10-26 18:38:17,0.15036655304762325,0.08875371725557696,0.2780520565950816,0.6942000589883259,1.428143872966317,0.015479493554912935,-0.08228649706749637,353136657.0,1270037925.0,3978837934.0,1630332566.0,2348505368.0,1380790826.0,1971967958.0,249541739.0,1270037925.0,267534957.0,305185027.0,419638944.0,37650070.0,1630332565.0
ASELS,2021/12,2022-03-01 20:22:05,0.27600174325964894,0.15363189654628442,0.23665920559107997,0.7965132852284569,1.3835965977246358,-0.0153561720400498,-0.10788914611755342,534004568.0,2256428465.0,3475870441.0,1541083502.0,1934786939.0,1254394293.0,1735575676.0,286689208.0,2256428465.0,568054587.0,616478558.0,744963854.0,48423971.0,1541083501.0
ASELS,2022/3,2022-04-26 19:38:09,0.06156575367897365,0.034392169072838416,0.37012931101397845,0.7901096481755746,1.3545308163016792,-0.2709247076430678,-0.2183214546516476,115633375.0,312413450.0,3362200702.0,1483991339.0,1878209363.0,1229443312.0,1665318853.0,254548027.0,312413450.0,64822168.0,74185720.0,93952638.0,9363552.0,1483991339.0
ASELS,2022/6,2022-08-11 19:11:37,0.13179055036626386,0.07152097870577473,0.3155432327310078,0.8426838216018825,1.3997059279025907,-0.17619183275488576,-0.2128050473565641,229795404.0,728253311.0,3212979019.0,1469338042.0,1743640977.0,1183950477.0,1657182501.0,285387565.0,728253311.0,163701917.0,181726396.0,229686547.0,18024479.0,1469338042.0
ASELS,2022/9,2022-10-19 19:38:26,0.1864247420006835,0.09907105444684655,0.2802328368860841,0.8817276446930855,1.339987378043553,-0.12280284700947021,-0.11592293291715677,312200020.0,1114073652.0,3151273818.0,1476603296.0,1674670522.0,1208839538.0,1619829723.0,267763757.0,1114073652.0,232004099.0,258078230.0,341996111.0,26074131.0,1476603295.0
ASELS,2022/12,2023-02-28 18:57:20,0.015864700151092214,0.008853175073420915,0.0170068737221919,0.7919785859277844,1.4113430062470709,0.7833857312201563,-0.8718418079150214,68437060.0,4024082328.0,7730227792.0,3416433056.0,4313794736.0,2758157751.0,3892706652.0,658275304.0,4024082328.0,697810504.0,845016608.0,1073322329.0,147206104.0,3416433055.0
ASELS,2023/3,2023-04-26 19:47:07,0.05381156201822109,0.029332990356200725,0.13130484495681366,0.8345065185911338,1.4235811146286697,1.880745784152379,0.021956022644846265,118172224.0,899983729.0,4028645650.0,1832607855.0,2196037795.0,1412080384.0,2010210967.0,420527471.0,899983729.0,168617711.0,200687139.0,266244728.0,32069428.0,1832607855.0
ASELS,2023/6,2023-08-15 19:11:31,0.12071719098926362,0.06119807359050445,0.1152975774064509,0.9725652123026609,1.2132102748854579,1.4922087336723417,-0.08936209185454379,209260406.0,1814959262.0,3419395313.0,1685918877.0,1733476436.0,1379319201.0,1673404227.0,306599677.0,1814959262.0,351902861.0,432235088.0,560057547.0,80332227.0,1685918878.0
ASELS,2023/9,2023-10-31 19:19:16,0.1987644127381339,0.09865115743630154,0.14950387145231217,1.0148208885598333,1.2536958077631117,1.14560106211003,0.1446755096300122,357367717.0,2390357611.0,3622539525.0,1824593343.0,1797946182.0,1461123277.0,1831804127.0,363470065.0,2390357611.0,434167084.0,572724605.0,668935265.0,138557521.0,1824593342.0
ASELS,2023/12,2024-03-26 18:30:10,0.0824897447605692,0.04841663705353911,0.08004313123178354,0.70374792157006,1.4524903478294124,0.10808815564570626,4.215235151831479,356915361.0,4459037965.0,7371750347.0,3044965702.0,4326784645.0,2456562986.0,3568134026.0,588402715.0,4459037965.0,764966955.0,971106483.0,1218187009.0,206139528.0,3044965701.0
ASELS,2024/3,2024-05-28 18:28:00,0.013643564621889837,0.00860314007623073,0.06426984878397178,0.5858819571687658,1.6397568163485368,-0.2496517334259495,-0.632726654954044,43401508.0,675301231.0,5044844977.0,1863747573.0,3181097404.0,1408836153.0,2310148685.0,454911420.0,675301231.0,120802230.0,151571804.0,195405703.0,30769574.0,1863747573.0
ASELS,2024/6,2024-09-10 18:31:43,0.03354085992496711,0.020478155924397116,0.07572781114009358,0.6378847809705976,1.4361384606885292,-0.15951162599703575,-0.4479645948885333,115519153.0,1525452159.0,5641091582.0,2196959462.0,3444132120.0,1773897000.0,2547561707.0,423062463.0,1525452159.0,310991773.0,371336952.0,487280224.0,60345179.0,2196959463.0
ASELS,2024/9,2024-10-15 18:47:17,0.048995028226336654,0.028928217754632092,0.07166479695016117,0.6936760034717235,1.5189257343929146,0.048859110646268904,-0.4972285703131937,179674278.0,2507148358.0,6211038631.0,2543844540.0,3667194091.0,1785594910.0,2712186060.0,758249631.0,2507148358.0,501787515.0,594442379.0,775119269.0,92654864.0,2543844541.0
ASELS,2024/12,2025-02-25 18:49:33,0.10822605468974056,0.06301029580655478,0.11837501690555159,0.7175931854375156,1.5211697104163742,0.02858758682939359,0.5211682889714573,542928329.0,4586511100.0,8616501828.0,3599887940.0,5016613888.0,2475722127.0,3765993511.0,1124165813.0,4586511100.0,1027707271.0,1153602821.0,1455946939.0,125895550.0,3599887940.0
ASELS,2025/3,2025-04-29 18:30:43,0.014422921360395812,0.008423816048583386,0.09564992989453493,0.7121600565864622,1.5007492241238651,-0.06913809401896381,0.3853599741280879,60126712.0,628612191.0,7137704771.0,2968874442.0,4168830329.0,1966596447.0,2951368092.0,1002277996.0,628612191.0,109534786.0,141837627.0,188146239.0,32302841.0,2968874443.0
