symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
FROTO,2020/3,2020-05-04 18:21:04,0.15668140452643378,0.0379188372284662,0.06243294887994487,3.132020281114741,1.131302017432777,,,95636101.0,1531820981.0,2522126415.0,1911740637.0,610385778.0,1390424371.0,1572989896.0,521316265.0,1531820981.0,110761805.0,146527483.0,175236547.0,35765678.0,1911740636.0
FROTO,2020/6,2020-07-28 18:21:54,0.2191502648726534,0.05045477639338956,0.056952445059994763,3.34349888232516,1.1785883644632646,,,132658012.0,2329276853.0,2629245861.0,2023916855.0,605329006.0,1454712712.0,1714507476.0,569204143.0,2329276853.0,167104565.0,235560289.0,270115076.0,68455724.0,2023916855.0
FROTO,2020/9,2020-10-26 18:22:50,0.47508746092255794,0.09975461927318348,0.06902191400114949,3.7625610160618725,1.3040339297994392,,,291996858.0,4230494941.0,2927151245.0,2312534186.0,614617059.0,1613189848.0,2103654297.0,699344338.0,4230494941.0,339644719.0,439711817.0,504732563.0,100067098.0,2312534186.0
FROTO,2020/12,2021-02-10 18:40:37,0.5955382398483546,0.17228149649802926,0.08020497846168032,2.456774244210068,1.4105304786057988,,,564386158.0,7036797077.0,3275953422.0,2328262543.0,947690879.0,1679171903.0,2368523148.0,649090640.0,7036797077.0,621386999.0,751813061.0,880325795.0,130426062.0,2328262543.0
FROTO,2021/3,2021-04-30 18:30:16,0.3008064550482383,0.06879567244713478,0.09937598213905428,3.372461876572097,1.2930419194787663,0.4329295173689751,1.280827362462215,218129436.0,2194991499.0,3170685426.0,2445536639.0,725148787.0,1804265898.0,2332991440.0,641270741.0,2194991499.0,210568662.0,244647451.0,279276670.0,34078789.0,2445536639.0
FROTO,2021/6,2021-08-06 18:59:40,0.4040534398779695,0.11914985324706645,0.09546917393554441,2.391136697752647,1.3479766732292353,0.45757560361589183,1.4433286170457613,324127117.0,3395097115.0,2720331651.0,1918142918.0,802188733.0,1380234938.0,1860524500.0,537907980.0,3395097115.0,324474105.0,389104890.0,454417946.0,64630785.0,1918142918.0
FROTO,2021/9,2021-10-27 19:00:39,0.5231694417544658,0.13849802023349791,0.09400593657571878,2.777450687543684,1.4147536701731025,0.3317511205126861,0.8138081677577503,529626286.0,5633966378.0,3824071168.0,2811729384.0,1012341784.0,2050158750.0,2900469616.0,761570634.0,5633966378.0,534793629.0,630087305.0,728568432.0,95293676.0,2811729384.0
FROTO,2021/12,2022-02-15 23:06:11,0.8672190020979493,0.2056653012300178,0.0827354155705611,3.216651991908174,1.5789445019580466,0.13210560071974065,0.16782310951006704,659103198.0,7966397382.0,3204736988.0,2444717666.0,760019322.0,1556365161.0,2457414214.0,888352505.0,7966397382.0,942238055.0,1060360943.0,1249745413.0,118122888.0,2444717666.0
FROTO,2022/3,2022-04-27 18:45:44,0.33776509077438005,0.05599771085831553,0.09577213054922042,5.031766043579479,1.4299084020346424,-0.091082971888995,-0.12404467960023516,191071640.0,1995065150.0,3412133051.0,2846439185.0,565693866.0,1788629795.0,2557576772.0,1057809391.0,1995065150.0,191564629.0,212625643.0,266170240.0,21061014.0,2846439186.0
FROTO,2022/6,2022-07-28 21:24:51,0.5575631665071346,0.10322481553314881,0.09554573349201477,4.401445026831586,1.1420590533350208,0.20159060928659178,0.20255420036330993,389780426.0,4079516811.0,3776034125.0,3076955618.0,699078507.0,2100395413.0,2398775597.0,976560205.0,4079516811.0,439033310.0,478279039.0,595999970.0,39245729.0,3076955618.0
FROTO,2022/9,2022-11-02 18:55:53,0.6600204266153012,0.1294729662078164,0.07986721627916328,4.097747010772252,1.1564558524611923,0.23650299870497382,0.0505299561359007,556388279.0,6966416321.0,4297331677.0,3454345223.0,842986454.0,2236356854.0,2586247972.0,1217988368.0,6966416321.0,673788194.0,752395302.0,914936629.0,78607108.0,3454345222.0
FROTO,2022/12,2023-02-08 21:39:27,0.542218170247762,0.1590865831730933,0.07625344531762576,2.408321176008944,1.1983989042517034,1.436930481131251,1.246007273962582,1480350577.0,19413556605.0,9305313795.0,6575138640.0,2730175155.0,4068042281.0,4875137412.0,2507096359.0,19413556605.0,1491759616.0,1924850339.0,2202761685.0,433090723.0,6575138640.0
FROTO,2023/3,2023-04-27 18:35:57,0.2426175751999731,0.04663474781869229,0.042790283465154774,4.202506425964339,1.1396383311183544,2.2677657007842575,0.4600136786390696,278967208.0,6519405468.0,5981960256.0,4832137504.0,1149822752.0,3127042600.0,3563697610.0,1705094904.0,6519405468.0,559303714.0,682427325.0,805648482.0,123123611.0,4832137504.0
FROTO,2023/6,2023-07-27 20:21:04,0.4426141409048678,0.08657447642021095,0.03651679590240321,4.112524605479899,1.1756798933286001,2.1344473653156864,0.19796008176151975,466941391.0,12787030720.0,5393522552.0,4338559893.0,1054962659.0,2718836356.0,3196481237.0,1619723537.0,12787030720.0,1120870720.0,1341861550.0,1683715073.0,220990830.0,4338559893.0
FROTO,2023/9,2023-10-25 18:42:59,0.6195008168679119,0.1537621013499894,0.049194899617804724,3.0289564946684737,1.2497308079721179,1.669778742039095,0.6444732060935453,914965617.0,18598790202.0,5950527529.0,4473587399.0,1476940130.0,2828139102.0,3534412565.0,1645448297.0,18598790202.0,2044770468.0,2341562969.0,2902265792.0,296792501.0,4473587399.0
FROTO,2023/12,2024-03-05 20:11:29,0.6719260206157384,0.22605567086730602,0.09622655691405774,1.9723917916967908,1.093339975633356,0.28558047074033294,0.6223133501707008,2401592504.0,24957689239.0,10623898506.0,7049706660.0,3574191846.0,4608463920.0,5038617830.0,2441242739.0,24957689239.0,2220388228.0,2587853325.0,3347515045.0,367465097.0,7049706659.0
FROTO,2024/3,2024-05-21 19:23:21,0.09979554501338882,0.0338342848471998,0.05008093429465637,1.9495390685536569,1.1575245389596702,-0.15029055729227117,-0.00551622182059477,277428363.0,5539600387.0,8199622491.0,5419655079.0,2779967412.0,3631215573.0,4203221132.0,1788439506.0,5539600387.0,356215624.0,450228813.0,589526754.0,94013189.0,5419655079.0
FROTO,2024/6,2024-08-06 19:34:48,0.1798032321946815,0.05639558401589997,0.04631537736665857,2.1882502031362674,1.1782699237882281,-0.19373392957642008,0.022612099084615096,477499916.0,10309749011.0,8466973511.0,5811293131.0,2655680380.0,3525330710.0,4153791147.0,2285962421.0,10309749011.0,579675628.0,768840870.0,1052281700.0,189165242.0,5811293131.0
FROTO,2024/9,2024-11-05 20:41:37,0.25316718021552737,0.08149504997887684,0.0449338151038528,2.1065344494070155,1.20770096500252,-0.10155921780314946,-0.17937891320783916,750840079.0,16709911617.0,9213321290.0,6247533709.0,2965787581.0,3772637402.0,4556217831.0,2474896307.0,16709911617.0,902419610.0,1211005515.0,1662654554.0,308585905.0,6247533709.0
FROTO,2024/12,2025-02-17 22:32:27,0.3372885742964869,0.11893241879742111,0.06075166915577161,1.8359683401384397,1.2477057950107056,-0.09036572919081533,-0.42571154943944645,1379206838.0,22702369452.0,11596559222.0,7507458840.0,4089100382.0,4379312462.0,5464093537.0,3128146379.0,22702369452.0,1112444309.0,1521183551.0,2083462232.0,408739242.0,7507458841.0
FROTO,2025/3,2025-04-29 18:43:25,0.051960778345562626,0.017126597426225666,0.038635678366411005,2.0339230293342427,1.2041541369474853,-0.19886716713091313,-0.38195421280700126,171463431.0,4437955751.0,10011529245.0,6711666609.0,3299862636.0,4163867927.0,5013938790.0,2547798682.0,4437955751.0,180626814.0,277337105.0,383544387.0,96710291.0,6711666609.0
FROTO,2025/6,2025-07-30 19:56:17,0.09246513794813581,0.031131939185247162,0.03346811540358676,1.9701053120376546,1.269592273756352,-0.05456888546944666,-0.3168187447387949,326218992.0,9747157498.0,10478595312.0,6950573841.0,3528021471.0,4197537727.0,5329161467.0,2753036114.0,9747157498.0,416084931.0,620639055.0,821810671.0,204554124.0,6950573841.0
FROTO,2025/9,2025-11-05 18:33:36,0.1408538385013104,0.05220138476438916,0.03568239252247574,1.6982778162568406,1.298074091572816,-0.09798774347401146,-0.28370303471772984,537824470.0,15072545084.0,10302877451.0,6484561417.0,3818316034.0,3891547487.0,5051516969.0,2593013929.0,15072545084.0,630390631.0,950896738.0,1261742745.0,320506107.0,6484561416.0
