symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
GWIND,2020/3,2021-05-07 18:34:01,,,0.0,,,,,0.0,12255489.0,0.0,0.0,0.0,0.0,0.0,0.0,12255489.0,8329000.0,9760476.0,8907081.0,1431476.0,0.0
GWIND,2020/6,2021-05-07 18:34:01,,,0.0,,,,,0.0,22018836.0,0.0,0.0,0.0,0.0,0.0,0.0,22018836.0,14606323.0,17254004.0,15689665.0,2647681.0,0.0
GWIND,2020/9,2021-05-07 18:34:01,,,0.0,,,,,0.0,36948112.0,0.0,0.0,0.0,0.0,0.0,0.0,36948112.0,25421419.0,29252448.0,27028428.0,3831029.0,0.0
GWIND,2020/12,2021-05-07 18:34:01,0.16862623418870415,0.09647954208857165,0.4410283829390824,0.747792646381958,0.5669372739569373,,,21036305.0,47698302.0,218039022.0,93287941.0,124751081.0,40697721.0,23073055.0,52590220.0,47698302.0,32621908.0,37537520.0,35075734.0,4915612.0,93287941.0
GWIND,2021/3,2021-05-07 18:34:01,0.009336999686168981,0.004858354422352081,0.07644748761877143,0.921844080211968,0.32208350632390054,-0.002277020525251991,,934768.0,12227583.0,192404242.0,92289855.0,100114387.0,45173465.0,14549628.0,47116390.0,12227583.0,7652435.0,9629753.0,8099873.0,1977318.0,92289855.0
GWIND,2021/6,2021-08-16 20:15:42,0.01682678380159199,0.00792809726814761,0.07133725951205962,1.122423985537648,0.8483594100305698,0.036515735890852725,,1628121.0,22822870.0,205360876.0,108603170.0,96757706.0,41193931.0,34947259.0,67409239.0,22822870.0,12617038.0,16556086.0,14642205.0,3939048.0,108603170.0
GWIND,2021/9,2021-11-02 19:06:37,0.1008508059284656,0.05505362810713681,0.25525331655090205,0.831864845168886,1.24055235690387,0.10609535339721823,,10431727.0,40868135.0,189483007.0,86045787.0,103437220.0,21809884.0,27056303.0,64235903.0,40868135.0,25111500.0,30911697.0,27656469.0,5800197.0,86045787.0
GWIND,2021/12,2022-02-24 23:30:26,0.17130915016597115,0.09669280544279693,0.2114635426849531,0.7716845568961898,1.3507889731504827,0.26898785621341403,-0.3915478502522187,12799585.0,60528566.0,132373706.0,57657411.0,74716295.0,21571710.0,29138828.0,36085701.0,60528566.0,40885180.0,47962035.0,44241241.0,7076855.0,57657411.0
GWIND,2022/3,2022-04-28 18:18:17,0.17688941510131026,0.09154530065885597,0.5985451270350763,0.9322609956466591,1.3103763942972855,0.6974768439519078,12.29038435205313,12423426.0,20756039.0,135707960.0,65475233.0,70232727.0,32116985.0,42085339.0,33358247.0,20756039.0,17169375.0,18375158.0,17688840.0,1205783.0,65475232.0
GWIND,2022/6,2022-08-11 20:52:06,0.381806438397431,0.23136350563701313,0.9016038900705424,0.6502448826684625,1.969677169503824,0.5243171432865367,18.265251784111868,31366161.0,34789292.0,135570910.0,53418914.0,82151996.0,27226548.0,53627510.0,26192367.0,34789292.0,27802039.0,30140842.0,28733664.0,2338803.0,53418915.0
