symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
KCHOL,2020/3,2020-05-22 18:17:34,0.04580446519072785,0.0062664657178783875,0.10012898589613957,6.309457555962771,0.8422054688541379,,,527206868.0,5265277215.0,84131453316.0,72621508471.0,11509944845.0,54438139634.0,45848098914.0,18183368837.0,5265277215.0,392320685.0,538852093.0,471968725.0,146531408.0,72621508471.0
KCHOL,2020/6,2020-08-13 18:17:00,0.05678281576401159,0.007763041985973558,0.07405536732411486,6.314505816999068,0.8421549198795452,,,646368901.0,8728184389.0,83262321931.0,71879143899.0,11383178032.0,53723155714.0,45243219896.0,18155988185.0,8728184389.0,1143388169.0,1438572201.0,1183767570.0,295184032.0,71879143899.0
KCHOL,2020/9,2020-11-05 18:18:01,0.08060023450617713,0.01071588451314148,0.06035612190584076,6.521566176579509,0.8395886580073569,,,867422034.0,14371732421.0,80947310783.0,70185282120.0,10762028663.0,53202762741.0,44668436172.0,16982519379.0,14371732421.0,2280371472.0,2723045358.0,2216084858.0,442673886.0,70185282120.0
KCHOL,2020/12,2021-02-15 18:18:13,0.10528510547402993,0.014716016495182541,0.0615081864571889,6.154456880943035,0.8240778581676189,,,1247537234.0,20282458415.0,84774112234.0,72924979079.0,11849133155.0,55766136666.0,45955638462.0,17158842413.0,20282458415.0,3035133533.0,3613366627.0,3215988729.0,578233094.0,72924979079.0
KCHOL,2021/3,2021-05-06 18:17:15,0.022784497595786594,0.003049928183278199,0.04332682444757713,6.470502984441594,0.8202869897613956,0.1105842378709399,-0.5194389728625463,253355074.0,5847533883.0,83069193363.0,71949568147.0,11119625216.0,56103506138.0,46020976165.0,15846062008.0,5847533883.0,982223781.0,1134773952.0,1068090629.0,152550171.0,71949568146.0
KCHOL,2021/6,2021-08-12 18:17:27,0.054800509897186274,0.007213649910371314,0.047007239680464614,6.596779796368783,0.8216982070259069,0.4886989189155637,-0.055036394766152276,610795087.0,12993638664.0,84672127784.0,73526335744.0,11145792040.0,57287183845.0,47072776251.0,16239151899.0,12993638664.0,1942763175.0,2239417041.0,2210547856.0,296653866.0,73526335744.0
KCHOL,2021/9,2021-11-05 18:18:00,0.09038473594748342,0.012131238128566011,0.048676146762202964,6.450578002805017,0.8216555953771966,0.5134490032125543,0.22056990196308526,1058749227.0,21750884107.0,87274622407.0,75560816797.0,11713805610.0,59507858452.0,48894964866.0,16052958345.0,21750884107.0,3155145699.0,3610454325.0,3506516242.0,455308626.0,75560816797.0
KCHOL,2021/12,2022-02-17 18:22:25,0.12545311921956845,0.014887026938024817,0.03710904636597654,7.427009619975427,0.8538715500094526,0.5116954321141154,-0.08796569834483994,1137796750.0,30660899738.0,76428742605.0,67359245114.0,9069497491.0,53147382611.0,45381037969.0,14211862503.0,30660899738.0,5255376342.0,5847635575.0,5200699364.0,592259233.0,67359245114.0
KCHOL,2022/3,2022-05-09 18:19:57,0.04830454448941209,0.005796354853514091,0.05126832245493497,7.333607190994433,0.8084324738190188,0.527089161973138,0.8069937174417908,457811027.0,8929705617.0,78982574147.0,69504976711.0,9477597436.0,57703793364.0,46649620418.0,11801183346.0,8929705617.0,1472515413.0,1599835215.0,1287511654.0,127319802.0,69504976710.0
KCHOL,2022/6,2022-08-16 18:15:34,0.13511844103420348,0.01646529690219602,0.061316115188837554,7.206255971988113,0.8166246587560202,0.666512042927162,1.173793762031357,1327742550.0,21654055315.0,80638846532.0,70812337731.0,9826508801.0,59975157327.0,48977192386.0,10837180404.0,21654055315.0,3962224252.0,4212113615.0,3366251555.0,249889363.0,70812337731.0
KCHOL,2022/9,2022-11-04 18:17:49,0.2059388886028897,0.028573387238578815,0.06727926501651386,6.207367011945928,0.8533980339634143,0.5478500631689288,1.1394095780529907,2265098237.0,33667107339.0,79273003865.0,68274118456.0,10998885409.0,57438412094.0,49017827955.0,10835706362.0,33667107339.0,6670907047.0,7041981349.0,5307441641.0,371074302.0,68274118456.0
KCHOL,2022/12,2023-02-10 18:22:30,0.11913111768011105,0.02579121404929517,0.04605317856783152,3.6190581588138424,0.8658587480678755,1.7471267197227478,2.4092473334978326,3879030536.0,84229376921.0,150401238522.0,117840219944.0,32561018578.0,100797779201.0,87276638907.0,17042440743.0,84229376921.0,16109168065.0,17641336803.0,12877271263.0,1532168738.0,117840219944.0
KCHOL,2023/3,2023-05-02 18:18:05,0.06570838674944295,0.010065317748398205,0.05072182268583179,5.5281979557873155,0.8515088301165621,0.9298683226681335,0.9092966998368084,874097083.0,17233156001.0,86842472821.0,73539801332.0,13302671489.0,63232418516.0,53842962716.0,10307382816.0,17233156001.0,2815277738.0,3309463751.0,2999148597.0,494186013.0,73539801332.0
KCHOL,2023/6,2023-08-01 18:16:34,0.1291218662419679,0.01869343063340335,0.038991518948536016,5.907339202427597,0.8445834319073423,0.7109890523062977,0.08803471727256161,1444629990.0,37049851582.0,77280089371.0,66091976683.0,11188112688.0,56693532177.0,47882417973.0,9398444506.0,37049851582.0,6845276191.0,7809580271.0,6909869514.0,964304080.0,66091976683.0
