symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
KONTR,2020/3,2020-11-09 18:40:53,,,0.0,,,,,0.0,5326899.0,0.0,0.0,0.0,0.0,0.0,0.0,5326899.0,368302.0,438271.0,691308.0,69969.0,0.0
KONTR,2020/6,2020-11-09 18:40:53,0.16898729996301534,0.04462504775414558,0.11567394790481636,2.7868263334487224,1.2164539166121602,,,1256051.0,10858547.0,28146771.0,20713958.0,7432813.0,18962549.0,23067067.0,1751410.0,10858547.0,1357870.0,1490538.0,1967488.0,132668.0,20713959.0
KONTR,2020/9,2020-11-09 18:40:53,0.24084817186525947,0.052314723256564055,0.09553666103193656,3.6038315195529527,1.1781725839525286,,,1727372.0,18080724.0,33018850.0,25846813.0,7172037.0,24236703.0,28555019.0,1610110.0,18080724.0,2598859.0,2791281.0,3723076.0,192422.0,25846813.0
KONTR,2020/12,2021-02-17 20:37:00,0.17931256078834892,0.07491704918492656,0.11271598689058676,1.393481304659491,1.6073562350127448,,,3226143.0,28621876.0,43062868.0,25071139.0,17991729.0,23521652.0,37807674.0,1549486.0,28621876.0,3569834.0,3819640.0,6769375.0,249806.0,25071138.0
KONTR,2021/3,2021-05-05 18:12:13,0.1174234790669557,0.04575653051908725,0.15255403023214345,1.5662670489810309,1.500271194043851,1.6235383850904626,,2131992.0,13975324.0,46594267.0,28437830.0,18156437.0,27035992.0,40561320.0,1401837.0,13975324.0,1960044.0,2085253.0,3167149.0,125209.0,28437829.0
KONTR,2021/6,2021-08-16 19:31:40,0.24121511452743008,0.09814061977947204,0.19856477317730534,1.4578519584393819,1.560925893370877,1.2647277761932605,2.887609659161929,4883036.0,24591653.0,49755504.0,29512013.0,20243491.0,27838886.0,43454438.0,1673127.0,24591653.0,5030334.0,5339986.0,7834272.0,309652.0,29512013.0
KONTR,2021/9,2021-11-03 21:03:28,0.3584541176885207,0.1164112560041085,0.18397214456833216,2.0792049668794035,1.4086105323867675,1.3911380429235023,3.6045443598715274,7953761.0,43233507.0,68324673.0,46135610.0,22189063.0,41692753.0,58728851.0,4442857.0,43233507.0,7866610.0,8429492.0,12200307.0,562882.0,46135610.0
KONTR,2021/12,2022-02-22 22:40:37,0.45624243618937754,0.13894527700001413,0.14275454643898075,2.28361236568838,1.343193423297972,1.3949778484121726,2.0332341126850237,9785647.0,68548759.0,70428065.0,48979716.0,21448349.0,43427359.0,58331343.0,5552356.0,68548759.0,12951218.0,13724506.0,18527356.0,773288.0,48979715.0
KONTR,2022/3,2022-05-10 22:54:39,0.13097145072786548,0.030990465744807908,0.19321981800539975,3.2261852541880596,1.3202271118515472,0.09179186114039288,0.3828269524463506,2948176.0,15258145.0,95131710.0,72621644.0,22510066.0,60785203.0,80250273.0,11836440.0,15258145.0,2280973.0,2446820.0,3912475.0,165847.0,72621643.0
KONTR,2022/6,2022-08-13 21:06:30,0.30222352255248697,0.07220989167769613,0.20755282550696844,3.1853479984254243,1.2422829099662827,0.4031267438589834,0.4666394022079706,7161653.0,34505206.0,99178282.0,75481738.0,23696544.0,61394677.0,76269558.0,14087062.0,34505206.0,7915562.0,8339272.0,11021990.0,423710.0,75481739.0
