symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
PGSUS,2020/3,2020-05-11 19:43:22,-0.0811837449084843,-0.01766959601880596,-0.19859651389942135,3.5945444831947193,1.1074358201334735,,,-61005095.0,307181097.0,3452546110.0,2701101408.0,751444702.0,910526395.0,1008349545.0,1790575013.0,307181097.0,-35691980.0,34343806.0,-13240192.0,70035786.0,2701101408.0
PGSUS,2020/6,2020-08-12 20:01:12,-0.2808301130918462,-0.05138074406032625,-0.6187577028815238,4.465668476153692,0.953728109036656,,,-193800034.0,313208277.0,3771841719.0,3081744664.0,690097055.0,1008808048.0,962128592.0,2072936616.0,313208277.0,-126307035.0,13999581.0,-94828930.0,140306616.0,3081744664.0
PGSUS,2020/9,2020-11-09 22:19:02,-0.20889766641166793,-0.04225507352509033,-0.301872095873383,3.943729805312683,0.9651801498975127,,,-157758389.0,522600105.0,3733478038.0,2978283441.0,755194597.0,858623053.0,828725927.0,2119660388.0,522600105.0,-144854368.0,70878159.0,-100043914.0,215732527.0,2978283441.0
PGSUS,2020/12,2021-03-04 23:44:26,-0.36482448794954897,-0.06759723353914307,-0.3867922957247266,4.397032819964333,0.8484089523434192,,,-264385359.0,683533157.0,3911186082.0,3186494161.0,724691921.0,875277459.0,742593232.0,2311216702.0,683533157.0,-242204487.0,68487773.0,-179109868.0,310692260.0,3186494161.0
PGSUS,2021/3,2021-05-10 20:05:33,-0.18696456483384996,-0.029236879252758162,-0.7601814739519324,5.394819475003031,0.7502772736568298,-0.5208477200014687,0.8340839892143435,-111888468.0,147186523.0,3826963440.0,3228515985.0,598447455.0,936247435.0,702445173.0,2292268550.0,147186523.0,-90517951.0,-11532248.0,-76975952.0,78985703.0,3228515985.0
PGSUS,2021/6,2021-08-17 23:16:17,-0.3404609420548968,-0.042568921180226586,-0.5495557027524189,6.997875741634771,1.0217787418180309,0.06607994270853831,-0.05315067694982964,-183499431.0,333905062.0,4310643209.0,3771669693.0,538973516.0,1094674899.0,1118515541.0,2676994794.0,333905062.0,-150150922.0,6839714.0,-120732696.0,156990636.0,3771669693.0
PGSUS,2021/9,2021-11-09 19:33:38,-0.1908789517803862,-0.02651226689715105,-0.12738946471049084,6.199646584946864,1.0726147706790274,0.6934790665608458,-0.28535497405466026,-112741248.0,885012338.0,4252418265.0,3661775625.0,590642640.0,1100071931.0,1179953402.0,2561703695.0,885012338.0,-13000978.0,221264632.0,41149873.0,234265610.0,3661775626.0
PGSUS,2021/12,2022-03-04 23:59:20,-0.28712118476052534,-0.03724253600244707,-0.12362662547642446,6.709496066917903,1.0006307182829863,0.7480819734396587,-0.44127771462564236,-147717992.0,1194871990.0,3966378444.0,3451898845.0,514479599.0,949533280.0,950132168.0,2502365566.0,1194871990.0,-61114322.0,254432516.0,13169328.0,315546838.0,3451898846.0
PGSUS,2022/3,2022-05-10 22:38:40,-0.14887800961525807,-0.017966374489057982,-0.2578283526663816,7.2864803750989875,0.8679134193284014,0.976085011533291,-0.32977747983822603,-74990171.0,290853082.0,4173917840.0,3670215707.0,503702133.0,1121687118.0,973527302.0,2548528589.0,290853082.0,-45852662.0,24003804.0,-25136916.0,69856466.0,3670215707.0
PGSUS,2022/6,2022-08-15 20:06:49,-0.2642143585405557,-0.02564628997340743,-0.13578298383615717,9.30224483987816,0.843172484994797,1.4976325905475492,-0.38289057146994643,-113239229.0,833972165.0,4415423405.0,3986834930.0,428588475.0,1330103968.0,1121507068.0,2656730962.0,833972165.0,-15012959.0,130033050.0,27209428.0,145046009.0,3986834930.0
PGSUS,2022/9,2022-11-09 19:46:39,0.25274226299549574,0.03546075735906209,0.08356860673149502,6.127379161497652,1.026638096005452,1.1482933133978523,-2.4092992655181535,158886158.0,1901266088.0,4480619418.0,3851970469.0,628648949.0,1117714419.0,1147488203.0,2734256051.0,1901266088.0,427702608.0,636828489.0,512633717.0,209125881.0,3851970470.0
PGSUS,2022/12,2023-03-06 20:45:05,0.3934744334703698,0.07411189329794965,0.14737652514878732,4.3091941921993175,0.9979593853932136,1.1524515534086626,-3.565958823756554,379038285.0,2571904071.0,5114405639.0,4151094550.0,963311089.0,1108246012.0,1105984509.0,3042848538.0,2571904071.0,579846818.0,848598222.0,696761857.0,268751404.0,4151094550.0
PGSUS,2023/3,2023-05-10 19:03:48,-0.03318140143168236,-0.0058282219426367445,-0.06697626308675475,4.693228870152949,1.0761830555765872,0.600177869182765,-0.5843206038295339,-31171869.0,465416665.0,5348435476.0,4408997488.0,939437988.0,1236126712.0,1330298622.0,3172870775.0,465416665.0,-14362643.0,63735597.0,12846387.0,78098240.0,4408997487.0
PGSUS,2023/6,2023-08-14 19:33:33,0.04946822455906193,0.009068006363196612,0.04249023133617668,4.455248107355542,1.0609777905759907,0.4474645373805731,-1.4529514767360348,51291876.0,1207145134.0,5656356419.0,4619491311.0,1036865108.0,1413336203.0,1499518322.0,3206155107.0,1207145134.0,146673067.0,300596531.0,209540812.0,153923464.0,4619491310.0
PGSUS,2023/9,2023-11-08 20:45:29,0.2549635244572761,0.05595824660687561,0.14087661942122529,3.5563172529060023,1.260898124846449,0.23145628051616518,1.075939812201891,329838101.0,2341326065.0,5894360903.0,4600693106.0,1293667797.0,1345579832.0,1696639087.0,3255113274.0,2341326065.0,572660616.0,811208245.0,671781806.0,238547629.0,4600693106.0
PGSUS,2023/12,2024-03-04 22:36:22,0.3824366748964838,0.1035255059769844,0.23950923114654085,2.694129975868038,1.2909273444477871,0.15088307467436643,0.8703597474329011,708937951.0,2959960865.0,6847954466.0,4994215017.0,1853739449.0,1260839457.0,1627652132.0,3733375560.0,2959960865.0,580089769.0,907561751.0,705809184.0,327471982.0,4994215017.0
PGSUS,2024/3,2024-05-08 22:13:07,-0.06342841502530845,-0.015686607915140868,-0.19270272468574057,3.043475514862245,1.1450044652154103,0.20689860557528597,2.472463810238648,-108243187.0,561710724.0,6900356507.0,5193815567.0,1706540940.0,1548168311.0,1772659629.0,3645647255.0,561710724.0,-51205868.0,38182746.0,-18144458.0,89388614.0,5193815566.0
PGSUS,2024/6,2024-08-12 23:11:50,0.008314872156703726,0.00207913591051408,0.010852653777762799,2.9991960672969267,1.1047980108247657,0.1517247569006893,-0.7058319138102884,15088433.0,1390298936.0,7257069114.0,5442437125.0,1814631989.0,1607644789.0,1776122765.0,3834792336.0,1390298936.0,116192087.0,292797041.0,188311708.0,176604954.0,5442437125.0
PGSUS,2024/9,2024-11-11 19:46:30,0.15016200176475675,0.040980451315339186,0.12719436129726497,2.6642349448345475,1.2779422364291668,0.1120482383558994,0.004043580762672412,331171828.0,2603667526.0,8081214759.0,5875784463.0,2205430296.0,1633816619.0,2087923264.0,4241967844.0,2603667526.0,512967205.0,783619953.0,628020733.0,270652748.0,5875784463.0
PGSUS,2024/12,2025-03-04 20:16:00,0.17733046664795074,0.04689202368206114,0.11050338118285226,2.781676556180554,1.276292663359495,0.4414549869394979,-0.3349498509214384,471479290.0,4266650350.0,10054573315.0,7395812534.0,2658760781.0,1932828069.0,2466854284.0,5462984464.0,4266650350.0,753313660.0,1212026926.0,962505350.0,458713266.0,7395812533.0
PGSUS,2025/3,2025-05-08 20:03:23,-0.03276488024188631,-0.008502434409103712,-0.10703659328445159,2.8535881213978387,1.0642890671568022,0.15822860451565812,-0.3566627338864293,-69636876.0,650589428.0,8190227957.0,6064876804.0,2125351153.0,1657394044.0,1763946361.0,4407482760.0,650589428.0,-66085680.0,35966964.0,-23339507.0,102052644.0,6064876804.0
PGSUS,2025/6,2025-08-12 18:57:26,0.025718455348034925,0.007141702896367069,0.0379232230123869,2.6011656773229412,1.0652308974339846,0.18995990945647964,3.1581640717760417,62740180.0,1654399996.0,8785044815.0,6345544497.0,2439500318.0,1718656042.0,1830765518.0,4626888455.0,1654399996.0,102790379.0,319378755.0,194394674.0,216588376.0,6345544497.0
