symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
QUAGR,2020/3,2021-05-10 19:41:44,,,0.0,,,,,0.0,20137327.0,0.0,0.0,0.0,0.0,0.0,0.0,20137327.0,2623847.0,3402152.0,4988013.0,778305.0,0.0
QUAGR,2020/6,2021-05-10 19:41:44,,,0.0,,,,,0.0,48363831.0,0.0,0.0,0.0,0.0,0.0,0.0,48363831.0,11089901.0,12479799.0,15664822.0,1389898.0,0.0
QUAGR,2020/9,2021-05-10 19:41:44,,,0.0,,,,,0.0,72929533.0,0.0,0.0,0.0,0.0,0.0,0.0,72929533.0,19558672.0,20989625.0,26349853.0,1430953.0,0.0
QUAGR,2020/12,2021-05-10 19:41:44,0.4256349183450782,0.20446724646185338,0.19443118004627147,1.0816777538229685,1.4445829516858877,,,19443593.0,100002443.0,95093925.0,49412539.0,45681386.0,40234559.0,58122158.0,9177980.0,100002443.0,29281528.0,31942489.0,37350776.0,2660961.0,49412539.0
QUAGR,2021/3,2021-05-10 19:41:44,0.1183708574875358,0.04452191503978987,0.19995531631562605,1.658709927049321,1.3000815366407152,0.357175458291957,,5464756.0,27329886.0,122743058.0,76576661.0,46166397.0,68392565.0,88915911.0,8184096.0,27329886.0,7238112.0,7784680.0,10684923.0,546568.0,76576661.0
QUAGR,2021/6,2021-08-16 18:25:27,0.1915868408503898,0.11137855865900309,0.2570433017158019,0.720141139884496,1.8945064105023004,0.28169885880214907,,15933566.0,61987867.0,143057750.0,59891464.0,83166286.0,50105746.0,94925657.0,9785718.0,61987867.0,18033197.0,19161529.0,27303196.0,1128332.0,59891464.0
QUAGR,2021/9,2021-11-08 22:05:12,0.27580059884229,0.10882517480504629,0.2578823854771409,1.5343455623790183,1.690895392173931,0.23833128068981327,,23289596.0,90310922.0,214009268.0,129565666.0,84443602.0,63367496.0,107147807.0,66198170.0,90310922.0,27403900.0,28667659.0,41368557.0,1263759.0,129565666.0
QUAGR,2021/12,2022-03-11 20:03:08,0.5134909004226444,0.19796536456559322,0.32861472782451956,1.5938421175311503,1.4207407739327804,0.2889679805122361,1.1785284746497213,42358421.0,128899947.0,213968848.0,131477764.0,82491084.0,72752830.0,103362912.0,58724934.0,128899947.0,44532793.0,47467427.0,63324477.0,2934634.0,131477764.0
QUAGR,2022/3,2022-05-10 18:41:15,0.18230271494684164,0.06639684058616177,0.35981022661026213,1.7456534578670393,1.685603818546602,0.7028102495561086,2.064127291319137,16744708.0,46537610.0,252191337.0,160340220.0,91851117.0,80624602.0,135901137.0,79715618.0,46537610.0,17824573.0,18759559.0,23470788.0,934986.0,160340220.0
QUAGR,2022/6,2022-08-19 18:38:29,0.3469152225622641,0.11240842208728183,0.29052135002883944,2.086203116461279,1.5861175647439367,0.9440674737203008,1.1972683327762286,35010320.0,120508596.0,311456378.0,210537428.0,100918950.0,127636122.0,202445895.0,82901306.0,120508596.0,45660340.0,48188017.0,60346861.0,2527677.0,210537428.0
QUAGR,2022/9,2022-11-09 20:16:12,0.4984092952091209,0.18783861575570981,0.3244624058131756,1.6533910144297397,1.5314296644481658,1.0095801369406903,1.5284131163116783,58885720.0,181487035.0,313491024.0,195343709.0,118147315.0,137861860.0,211125742.0,57481849.0,181487035.0,54010387.0,57058295.0,81220818.0,3047908.0,195343709.0
QUAGR,2022/12,2023-03-04 22:50:47,0.35483389260288845,0.17602841126136448,0.30328836733645204,1.0157762630951803,1.5169147157516294,2.5653222960595943,2.290542652664036,139382191.0,459569855.0,791816446.0,399006757.0,392809689.0,326582136.0,495397248.0,72424622.0,459569855.0,138043691.0,150318689.0,185960435.0,12274998.0,399006758.0
QUAGR,2023/3,2023-05-10 18:53:58,0.05055789138814862,0.02312020237675645,0.08290932925547338,1.18674086202206,1.4384882931876763,1.6887019337692675,-0.3804554250811659,10374093.0,125125762.0,448702517.0,243510158.0,205192359.0,216964399.0,312100748.0,26545758.0,125125762.0,20871241.0,26187585.0,32377829.0,5316344.0,243510157.0
QUAGR,2023/6,2023-08-21 18:41:50,0.138166545145363,0.0563919772748217,0.08854439124810634,1.4501099592947346,1.399471710382224,1.1722890705655553,-0.33793501458998376,23179107.0,261779506.0,411035543.0,243273463.0,167762080.0,218227268.0,305402888.0,25046195.0,261779506.0,63892615.0,75218003.0,84603785.0,11325388.0,243273463.0
QUAGR,2023/9,2023-11-09 18:43:48,0.14546540592468332,0.06457744807732595,0.06371519963527594,1.252572844787874,1.4915203143623064,1.003991761725569,-0.6064729445441102,23173124.0,363698523.0,358842362.0,199539029.0,159303333.0,171446509.0,255715951.0,28092520.0,363698523.0,62159651.0,79198522.0,93631862.0,17038871.0,199539029.0
QUAGR,2023/12,2024-05-17 18:42:36,0.05400854437545905,0.028952402186932635,0.043560217450667425,0.8654253290193393,1.33609973830304,0.02572371941149186,-0.8526789911058293,20533925.0,471391701.0,709230442.0,329032730.0,380197712.0,302509819.0,404183290.0,26522911.0,471391701.0,81618127.0,103709883.0,125053793.0,22091756.0,329032730.0
QUAGR,2024/3,2024-05-17 18:42:36,-0.07838291650934942,-0.042292623234716005,-0.24899395504960645,0.8533472391707451,1.3831686804405203,-0.3559987990322888,-2.9340695133540833,-20064217.0,80581141.0,474414105.0,218437192.0,255976913.0,191880119.0,265402571.0,26557073.0,80581141.0,15461504.0,20551873.0,24465558.0,5090369.0,218437192.0
QUAGR,2024/6,2024-09-30 18:56:58,-0.1900757978801484,-0.0942184232250959,-0.2590833318474151,1.0173952330537415,1.2581130535854732,-0.30695332964682115,-3.027873679516644,-47004301.0,181425415.0,498886517.0,251594113.0,247292404.0,223461608.0,281139966.0,28132505.0,181425415.0,23946171.0,34503386.0,42445394.0,10557215.0,251594113.0
QUAGR,2024/9,2024-09-30 18:56:58,-0.3178276610987944,-0.15916625576964008,-0.30318129913129266,0.996828160857206,1.241725414670689,-0.3255542723224092,-4.209270834609956,-74368831.0,245294915.0,467239935.0,233248876.0,233991059.0,198874558.0,246947593.0,34374319.0,245294915.0,19195756.0,34410808.0,47855579.0,15215052.0,233248877.0
QUAGR,2024/12,2025-03-11 19:41:46,-0.36381858552366103,-0.19507960270840197,-0.34235289996988466,0.8649750143261512,1.1963418491238054,-0.3414603983450273,-6.1756615454668315,-106276646.0,310430103.0,544786049.0,252671654.0,292114395.0,217774342.0,260532559.0,34897311.0,310430103.0,13685718.0,35397338.0,50839960.0,21711620.0,252671653.0
QUAGR,2025/3,2025-05-12 19:38:22,-0.0771018646386294,-0.036304449463490235,-0.31545527815432944,1.1237579859895088,1.2525638856048793,-0.32687117200288834,-0.14720001283877662,-17110764.0,54241489.0,471313138.0,249389011.0,221924127.0,198820298.0,249035125.0,50568712.0,54241489.0,8655538.0,13008206.0,16663645.0,4352668.0,249389010.0
QUAGR,2025/6,2025-08-19 18:37:08,-0.06659284750937076,-0.030835305785457772,-0.11907784941254035,1.1596298771659146,1.0897851820017903,-0.3034206921891291,-0.6798436806878587,-15048724.0,126377190.0,488035504.0,262054418.0,225981086.0,242326902.0,264084267.0,19727517.0,126377190.0,24913894.0,33887350.0,41315734.0,8973456.0,262054419.0
QUAGR,2025/9,2025-11-10 19:10:20,-0.076664650155068,-0.03657558965704704,-0.09012636791115754,1.0960605385700728,1.1149272992709676,-0.20024533733200298,-0.7622578200805658,-17680608.0,196175752.0,483399124.0,252776432.0,230622692.0,229798796.0,256208951.0,22977636.0,196175752.0,32577127.0,45924178.0,58954219.0,13347051.0,252776432.0
