symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
SISE,2020/3,2020-04-30 19:18:49,0.022900751319183295,0.010894866972604337,0.0889638139882255,1.1019762220840628,2.1215640522999366,,,67140469.0,754694139.0,6162578136.0,3230776115.0,2931802021.0,1342997341.0,2849254881.0,1887778774.0,754694139.0,101609419.0,161485890.0,244696007.0,59876471.0,3230776115.0
SISE,2020/6,2020-07-28 23:40:23,0.026118211734848566,0.012954682142972119,0.05633412809006279,1.0161213873562795,2.5471958151745264,,,76800233.0,1363298512.0,5928376486.0,2987890599.0,2940485887.0,1065897163.0,2715048793.0,1921993436.0,1363298512.0,126417761.0,245785307.0,398560896.0,119367546.0,2987890599.0
SISE,2020/9,2020-10-26 20:13:51,0.06282608678985434,0.031150938803570928,0.08252141755404607,1.0168280380253707,2.539717292402905,,,179299400.0,2172761997.0,5755826530.0,2901926038.0,2853900492.0,1081315830.0,2746236512.0,1820610208.0,2172761997.0,248081319.0,424607461.0,663792030.0,176526142.0,2901926038.0
SISE,2020/12,2021-02-01 22:36:38,0.09506090645088332,0.04834121498084304,0.09472483588249844,0.9664567078947026,2.5753536017112224,,,287652804.0,3036720004.0,5950466990.0,2924482758.0,3025984232.0,1108409865.0,2854547338.0,1816072894.0,3036720004.0,391967047.0,626877252.0,947899039.0,234910205.0,2924482759.0
SISE,2021/3,2021-04-30 18:36:08,0.05579461165467614,0.027996337992497553,0.21050147359540167,0.9929253486519543,2.4513026159877587,0.01748399029239049,1.4075168286357964,161641809.0,767889204.0,5773676866.0,2876590495.0,2897086371.0,1179384112.0,2891027359.0,1697206383.0,767889204.0,118660036.0,180131145.0,261397517.0,61471109.0,2876590495.0
SISE,2021/6,2021-08-02 23:44:50,0.10522034469862653,0.0546101279509518,0.19478577900431812,0.9267551395069135,2.5808126448444013,0.18791072809444978,3.107423411072203,315451075.0,1619476928.0,5776420727.0,2778416150.0,2998004577.0,1168798629.0,3016450281.0,1609617521.0,1619476928.0,283558402.0,404236012.0,577031338.0,120677610.0,2778416150.0
SISE,2021/9,2021-10-27 18:28:36,0.1492204452005278,0.07839858008289723,0.17758864213591768,0.9033564774789365,2.7370956296625084,0.19337380006651506,1.568177316823146,460472652.0,2592917241.0,5873482039.0,2787627072.0,3085854967.0,1158095115.0,3169817078.0,1629531958.0,2592917241.0,457936351.0,638583883.0,917103827.0,180647532.0,2787627073.0
SISE,2021/12,2022-02-08 20:23:45,0.1707978342563949,0.09798534912822066,0.18848623212397908,0.7430956339492554,1.8797494062077946,0.18280911386916263,1.353587959462408,677016176.0,3591860097.0,6909361267.0,2945516064.0,3963845203.0,1437702015.0,2702519509.0,1507814049.0,3591860097.0,616334919.0,847283976.0,1252673768.0,230949057.0,2945516064.0
SISE,2022/3,2022-05-05 18:31:46,0.06613998826738961,0.03592513746189629,0.20074365336157377,0.8410503878460354,1.820431379351615,0.5820332030608937,0.5086978703634776,243868653.0,1214826217.0,6788245508.0,3101086508.0,3687159000.0,1607944556.0,2927152726.0,1493141951.0,1214826217.0,241160380.0,303215436.0,475813064.0,62055056.0,3101086507.0
SISE,2022/6,2022-08-02 23:49:08,0.13543108847020333,0.07292558296729436,0.198518205370289,0.8571135527424091,1.725799922633322,0.6688097843651404,0.7007870142778876,536515092.0,2702598943.0,7357021640.0,3395485939.0,3961535701.0,1954981188.0,3373906383.0,1440504751.0,2702598943.0,524905371.0,672464973.0,1026943246.0,147559602.0,3395485939.0
SISE,2022/9,2022-10-31 19:21:02,0.18774924760436476,0.10171898050495591,0.17802905592079063,0.8457641501353557,1.7862880066598825,0.6063296229206568,0.6103132656833657,741505220.0,4165079774.0,7289742940.0,3340298511.0,3949444429.0,1946571278.0,3477136928.0,1393727233.0,4165079774.0,761106725.0,987917690.0,1568345674.0,226810965.0,3340298511.0
SISE,2022/12,2023-02-03 20:11:20,0.1310968103057592,0.07868495124255737,0.11818555329827574,0.6660976239488913,2.1156697519572463,1.8595612038393934,0.7930159633290653,1213900811.0,10271143783.0,15427356716.0,6167781230.0,9259575486.0,3128842622.0,6619597694.0,3038938608.0,10271143783.0,1320887141.0,2032953669.0,3285132459.0,712066528.0,6167781230.0
SISE,2023/3,2023-04-28 23:54:29,0.02487124925314138,0.014157663715560043,0.044219191179191736,0.7567340030690606,1.8567882634073056,1.2932859367160003,-0.4948420656590087,123192185.0,2785943879.0,8701448733.0,3748252223.0,4953196510.0,2062480639.0,3829589844.0,1685771584.0,2785943879.0,307982207.0,492941842.0,832953992.0,184959635.0,3748252223.0
SISE,2023/6,2023-08-04 18:26:34,0.07221032284155363,0.039964998575065996,0.059631469387553225,0.8068391196341829,1.9755261949704446,0.9353611395236899,-0.4186506555905048,311902697.0,5230504970.0,7804396550.0,3485032161.0,4319364389.0,1657435407.0,3274307063.0,1827596754.0,5230504970.0,457381435.0,807632393.0,1481954115.0,350250958.0,3485032161.0
SISE,2023/9,2023-10-27 18:26:54,0.11413585844105748,0.06006097997256699,0.06801399963189728,0.9003329362777095,1.7706236887587037,0.7195729022308037,-0.34305650201626364,487127033.0,7162158315.0,8110540874.0,3842583024.0,4267957850.0,2049617990.0,3629102166.0,1792965033.0,7162158315.0,637518605.0,1085570307.0,2064875425.0,448051702.0,3842583023.0
SISE,2023/12,2024-03-04 23:20:44,0.10297444513431724,0.05893072688917817,0.0912690415848082,0.7473812146923833,1.6914703684816985,-0.10336769472132702,-0.30757382037864045,840536701.0,9209439328.0,14263131398.0,6100555723.0,8162575675.0,3266467331.0,5525132700.0,2834088392.0,9209439328.0,623323208.0,1245664568.0,2533546882.0,622341360.0,6100555723.0
