symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
TATGD,2020/3,2020-05-14 19:11:12,0.05137391409610239,0.027605889094523044,0.13274688859908146,0.8609766169891221,3.6583510921049043,,,4362793.0,32865501.0,158038489.0,73116149.0,84922340.0,32956953.0,120568105.0,40159196.0,32865501.0,5702272.0,6531726.0,10074532.0,829454.0,73116149.0
TATGD,2020/6,2020-08-06 18:14:11,0.10292886951653092,0.05249912776126001,0.14607869604679713,0.9605824804065938,2.6223231405850758,,,8875612.0,60759113.0,169062085.0,82831545.0,86230540.0,52157670.0,136774265.0,30673876.0,60759113.0,10776782.0,11492882.0,19290582.0,716100.0,82831546.0
TATGD,2020/9,2020-10-26 19:52:05,0.12156608762470986,0.055308165096265426,0.1105645466084463,1.1979772319895379,2.1483168301954674,,,9514037.0,86049618.0,172018670.0,93756408.0,78262262.0,66685399.0,143261365.0,27071009.0,86049618.0,14079575.0,15815685.0,27533359.0,1736110.0,93756408.0
TATGD,2020/12,2021-02-12 19:25:53,0.23735369123342015,0.12781693803685354,0.19697043242154846,0.8569815044149097,2.8509421830697304,,,22505192.0,114256702.0,176073628.0,81256514.0,94817114.0,55347577.0,157792742.0,25908936.0,114256702.0,17048698.0,20663763.0,36098203.0,3615065.0,81256513.0
TATGD,2021/3,2021-05-01 00:29:07,0.12091748621063984,0.06902059559005021,0.37912016035958584,0.7519044160214537,2.262896210017596,-0.12194720536893687,1.507686016732859,10940515.0,28857645.0,158510875.0,68031695.0,90479180.0,62554987.0,141555443.0,5476708.0,28857645.0,3344742.0,3682296.0,8156106.0,337554.0,68031695.0
TATGD,2021/6,2021-08-05 20:44:55,0.18918307084940378,0.12490115214948713,0.3090449379022997,0.5146623357243434,2.617841336844658,-0.052076895855935224,1.0054316254473494,17799433.0,57594967.0,142508157.0,48422397.0,94085760.0,46065427.0,120591979.0,2356970.0,57594967.0,7820525.0,8472423.0,17125010.0,651898.0,48422397.0
TATGD,2021/9,2021-10-27 18:49:06,0.21743644272423032,0.10834059107074852,0.2285800315463318,1.0069711586258006,2.01906070149965,0.05357433428699242,1.1781489813419896,20722990.0,90659669.0,191276324.0,95970359.0,95305965.0,79617374.0,160752311.0,16352984.0,90659669.0,10719575.0,12019742.0,25492877.0,1300167.0,95970358.0
TATGD,2021/12,2022-02-11 19:54:07,0.25213250254883607,0.13627118049879725,0.13664169940446574,0.8502261565941408,2.4398541837983125,0.07061073756531148,-0.2572993378594593,16714621.0,122324452.0,122657050.0,56364046.0,66293004.0,41431610.0,101087087.0,14932436.0,122324452.0,14679118.0,16907752.0,35734232.0,2228634.0,56364046.0
TATGD,2022/3,2022-04-27 19:03:59,0.10280386753969586,0.056345294164917,0.16863298047193823,0.8245333361611228,2.2028410669103566,0.33077359569708475,-0.40807073524418186,6476011.0,38402992.0,114934372.0,51940526.0,62993846.0,42979206.0,94676360.0,8961320.0,38402992.0,5811778.0,6060894.0,13082454.0,249116.0,51940526.0
TATGD,2022/6,2022-08-01 21:27:57,0.17791688886683854,0.08281790149821563,0.15635933410549688,1.1482902159041888,1.6759711810949425,0.18865341133019486,-0.3986083152199286,10704431.0,68460454.0,129252623.0,69087278.0,60165345.0,63928036.0,107141546.0,5159241.0,68460454.0,10467562.0,11025034.0,23424835.0,557472.0,69087277.0
TATGD,2022/9,2022-10-28 18:22:18,0.21641322143056813,0.05524509768952668,0.11064039300306815,2.917328984004772,1.2158099774327735,0.22526686039411858,-0.406929791502095,12290188.0,111082288.0,222466581.0,165676206.0,56790375.0,162677057.0,197784389.0,2999150.0,111082288.0,15970987.0,17637111.0,34366892.0,1666124.0,165676207.0
TATGD,2022/12,2023-02-08 23:46:59,-0.05737047699831444,-0.018199795484561784,-0.025240566429122636,2.1522594331886697,1.3235684185654282,1.5824284011507364,-1.477028285594989,-7973347.0,315894139.0,438100912.0,299120945.0,138979967.0,273310561.0,361745227.0,25810384.0,315894139.0,-23170453.0,-14786696.0,28230544.0,8383757.0,299120945.0
TATGD,2023/3,2023-04-27 19:44:33,0.08173486283228694,0.02131183107012018,0.04186539010236866,2.8351872517834305,1.5665675105672847,2.171047245485456,-0.2127451605625747,5098271.0,121777702.0,239222570.0,176846849.0,62375721.0,132352591.0,207339269.0,44494258.0,121777702.0,3721991.0,5025944.0,18933525.0,1303953.0,176846849.0
TATGD,2023/6,2023-07-27 21:33:51,0.14676144475914188,0.043779353612575775,0.03143081549352026,2.35229811883253,1.9771369905076592,2.1249164955873647,-0.37184003521532344,6724095.0,213933202.0,153590550.0,107774055.0,45816495.0,64095149.0,126724890.0,43678906.0,213933202.0,-13503676.0,-10078661.0,16870310.0,3425015.0,107774055.0
