symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
TCELL,2020/3,2020-04-28 21:28:04,0.04672561383086999,0.01925319003040651,0.12593300544592895,1.4269024383531435,1.8217535877997013,,,132602294.0,1052959020.0,6887289524.0,4049396490.0,2837893034.0,1587652663.0,2892311935.0,2461743827.0,1052959020.0,253773820.0,477785211.0,311422377.0,224011391.0,4049396490.0
TCELL,2020/6,2020-08-13 18:58:41,0.08825789539527877,0.03665654383605991,0.12378757309680008,1.4076982213597942,1.8795008153621846,,,251534680.0,2031986521.0,6861931150.0,4011934797.0,2849996353.0,1554621399.0,2921912187.0,2457313398.0,2031986521.0,467784974.0,903099856.0,575547274.0,435314882.0,4011934797.0
TCELL,2020/9,2020-11-06 18:41:52,0.14466181763103353,0.05695998663651957,0.12344038750599101,1.5397094731775718,1.9179663260172883,,,377924854.0,3061598085.0,6634918235.0,4022446885.0,2612471350.0,1523533775.0,2922086477.0,2498913111.0,3061598085.0,736088615.0,1380121439.0,886979227.0,644032824.0,4022446886.0
TCELL,2020/12,2021-02-19 18:54:16,0.20385367530821372,0.08227608194686743,0.14169555681335347,1.4776784514345147,1.7797583831079071,,,570060140.0,4023133490.0,6928625264.0,4132207004.0,2796418260.0,1555997417.0,2769299447.0,2576209587.0,4023133490.0,945581160.0,1792553201.0,1154265847.0,846972041.0,4132207004.0
TCELL,2021/3,2021-04-30 19:16:52,0.05083627646595841,0.01973466167443268,0.12884181333979758,1.5759892571059149,1.9636411768719575,-0.023566557224610696,-0.001012840697914321,132467989.0,1028144401.0,6712453002.0,4106676218.0,2605776784.0,1455063543.0,2857222688.0,2651612675.0,1028144401.0,229578116.0,452713244.0,283728599.0,223135128.0,4106676218.0
TCELL,2021/6,2021-08-12 18:43:39,0.10948316671832078,0.03969535517671863,0.12625648513459797,1.7580850764759701,1.609100181260525,-0.0060646814694102,0.013759108684337286,254995573.0,2019663170.0,6423813866.0,4094729125.0,2329084741.0,1608789889.0,2588704102.0,2485939236.0,2019663170.0,440300027.0,870576392.0,551860838.0,430276365.0,4094729125.0
TCELL,2021/9,2021-11-04 18:34:13,0.1663790741677719,0.06363121709124381,0.13276266159131933,1.6147397735484628,1.7768814744005772,0.008635207583101163,0.08480779620807898,409975828.0,3088035620.0,6442998370.0,3978891450.0,2464106920.0,1449515656.0,2575617516.0,2529375794.0,3088035620.0,709561449.0,1352729628.0,874506058.0,643168179.0,3978891450.0
TCELL,2021/12,2022-02-17 18:45:50,0.2229872065130748,0.0711786910205559,0.09633655799859554,2.132780377919611,1.7266987626724415,-0.02786101387851289,-0.33905814744388196,376776605.0,3911044912.0,5293390474.0,3603712349.0,1689678125.0,1279963005.0,2210110537.0,2323749345.0,3911044912.0,895566548.0,1708110699.0,1116678679.0,812544151.0,3603712350.0
TCELL,2022/3,2022-04-28 18:25:25,0.034341458950152566,0.010659122973851375,0.07380960235021541,2.2217902949799857,1.7178664680769726,-0.27847133313329203,-0.5866579132563113,54754595.0,741835659.0,5136876189.0,3542459508.0,1594416681.0,1279360112.0,2197769837.0,2263099396.0,741835659.0,162643711.0,313131351.0,206983208.0,150487640.0,3542459508.0
TCELL,2022/6,2022-08-18 18:46:03,0.111651467498972,0.031475584335939485,0.10567436706646205,2.547240499407854,1.7373892060244556,-0.25299908400072474,-0.37477390636895486,159429886.0,1508690238.0,5065192255.0,3637267575.0,1427924680.0,1328514924.0,2308147489.0,2308752651.0,1508690238.0,330371002.0,625479189.0,417350504.0,295108187.0,3637267575.0
