symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
TUREX,2020/3,2021-06-07 18:18:07,,,0.0,,,,,0.0,18652275.0,0.0,0.0,0.0,0.0,0.0,0.0,18652275.0,1807961.0,2628529.0,2473798.0,820568.0,0.0
TUREX,2020/6,2021-06-07 18:18:07,,,0.0,,,,,0.0,32055648.0,0.0,0.0,0.0,0.0,0.0,0.0,32055648.0,3811973.0,5364218.0,5121909.0,1552245.0,0.0
TUREX,2020/9,2021-06-07 18:18:07,,,0.0,,,,,0.0,49411806.0,0.0,0.0,0.0,0.0,0.0,0.0,49411806.0,6440821.0,8702600.0,8409065.0,2261779.0,0.0
TUREX,2020/12,2021-06-07 18:18:07,0.2782552711701778,0.15105997196565066,0.12136797411269148,0.8420185542828641,1.2686165314398326,,,8106292.0,66791030.0,53662740.0,24530167.0,29132573.0,14768272.0,18735274.0,9761895.0,66791030.0,10870258.0,14076332.0,13386145.0,3206074.0,24530167.0
TUREX,2021/3,2021-06-07 18:18:07,0.0327527766198464,0.018662009231592818,0.046935493302036065,0.7550509279782909,1.388010173020618,0.035164932963941395,,906239.0,19308181.0,48560634.0,20891560.0,27669074.0,13296739.0,18456009.0,7594821.0,19308181.0,1962686.0,2965188.0,2603774.0,1002502.0,20891560.0
TUREX,2021/6,2021-08-19 18:35:19,0.08071005463756259,0.05636607905747722,0.08775026192526678,0.43189052684082396,2.518288932647865,0.11738259042525048,,3143076.0,35818423.0,55761835.0,16819029.0,38942806.0,10917887.0,27494394.0,5901142.0,35818423.0,4567541.0,6451282.0,5907262.0,1883741.0,16819029.0
TUREX,2021/9,2021-11-09 18:16:41,0.11275514770249252,0.07628836245491917,0.08595424858922027,0.4780124517537671,1.8674060385878037,0.049513936001448725,,4457448.0,51858379.0,58428938.0,18896836.0,39532102.0,12738740.0,23788400.0,6158097.0,51858379.0,6249543.0,9034605.0,8492703.0,2785062.0,18896837.0
TUREX,2021/12,2022-03-11 18:57:20,0.1413264407529464,0.09624042063048022,0.0591841325897781,0.46847284433052155,1.69578352976281,-0.008379568334250872,-0.5164441399347569,3919845.0,66231350.0,40729716.0,12993611.0,27736105.0,8606227.0,14594298.0,4387385.0,66231350.0,7835873.0,11625039.0,11450910.0,3789166.0,12993612.0
TUREX,2022/3,2022-05-10 20:25:31,0.016344010943734347,0.009913036879939587,0.027965687134201507,0.6487390435123603,1.4194586779103504,-0.22627429274668598,-0.5389891629029429,417786.0,14939236.0,42145107.0,16583083.0,25562024.0,12374592.0,17565222.0,4208491.0,14939236.0,599391.0,1309834.0,1515482.0,710443.0,16583083.0
TUREX,2022/6,2022-08-18 18:32:33,0.03708723535400617,0.02031386311622555,0.0267187261596757,0.825710606683325,1.0962674573799982,-0.10980684437167991,-0.7289486477578015,851935.0,31885315.0,41938601.0,18967490.0,22971111.0,14667937.0,16079982.0,4299553.0,31885315.0,1360161.0,2780354.0,3103930.0,1420193.0,18967490.0
TUREX,2022/9,2022-11-09 18:19:16,0.049419361418330844,0.025390443215874612,0.020348763323792367,0.9463765250173584,0.940666188803965,-0.022809563715826906,-0.7686604532458932,1031184.0,50675512.0,40613076.0,19747084.0,20865992.0,15547004.0,14624541.0,4200081.0,50675512.0,1881029.0,4037268.0,4548309.0,2156239.0,19747085.0
TUREX,2022/12,2023-03-13 19:36:16,0.015484638804689936,0.009910456632945692,0.008346891328772634,0.5624546252706245,1.0699618530607888,1.2079013337339493,-0.6886139630521105,1220585.0,146232286.0,123161328.0,44335789.0,78825539.0,29627803.0,31700619.0,14707986.0,146232286.0,17290148.0,23068658.0,23794207.0,5778510.0,44335789.0
TUREX,2023/3,2023-05-10 18:18:07,0.034023423403147034,0.017425177113286183,0.024093358933055736,0.9525439071264978,1.030504907347727,2.0659251918906696,1.6413953555169394,1103538.0,45802580.0,63330088.0,30895433.0,32434655.0,24032330.0,24765434.0,6863103.0,45802580.0,3613110.0,4864956.0,6596169.0,1251846.0,30895433.0
TUREX,2023/6,2023-08-18 20:39:36,0.16335421010342416,0.08944348649752475,0.045817111376158494,0.8263398847849802,1.0655171165812864,2.050352019417089,4.230725348764871,4456238.0,97261435.0,49821828.0,22542225.0,27279603.0,16550881.0,17635247.0,5991343.0,97261435.0,17303385.0,23058251.0,22528374.0,5754866.0,22542224.0
TUREX,2023/9,2023-11-09 18:13:10,0.26201259339401345,0.1389647794530706,0.05087347599414079,0.8854604341130694,1.2115962928068473,1.9361051941616298,6.340489185247249,7569395.0,148788634.0,54469881.0,25580449.0,28889432.0,18830311.0,22814735.0,6750138.0,148788634.0,24923742.0,33017367.0,32990158.0,8093625.0,25580449.0
TUREX,2023/12,2024-05-20 08:22:32,0.12752770417478926,0.08968046178150187,0.11388676840080145,0.42202327732766026,1.2011176196810416,0.373418965767929,17.739221766611912,22872813.0,200838195.0,255047895.0,75692255.0,179355640.0,30024346.0,36062771.0,45667909.0,200838195.0,33291933.0,44425265.0,44069138.0,11133332.0,75692255.0
TUREX,2024/3,2024-05-20 08:22:32,0.012422313463785467,0.008860849473993682,0.03417187885736837,0.40193256868255955,1.297146910188313,0.04737137078304322,0.4854984604064382,1639304.0,47972311.0,185005287.0,53040818.0,131964469.0,22885084.0,29685316.0,30155734.0,47972311.0,2702095.0,10528410.0,5997399.0,7826315.0,53040818.0
TUREX,2024/6,2024-09-30 20:47:18,0.013139105153231351,0.009331345433919324,0.019835855166813347,0.40806116827171224,1.3382728333109364,-0.04158619498056964,-0.5850686161735527,1849033.0,93216702.0,198152883.0,57425415.0,140727468.0,23477815.0,31419722.0,33947600.0,93216702.0,7278082.0,17262862.0,14646703.0,9984780.0,57425415.0
TUREX,2024/9,2024-09-30 20:47:18,0.028597368859483104,0.020522470485471952,0.06759983430991666,0.39346619500451696,1.426385147007614,-0.5740037844557401,-0.43394326759272045,4284707.0,63383395.0,208781248.0,58952534.0,149828714.0,24989658.0,35644877.0,33962876.0,63383395.0,8976890.0,24226859.0,13055917.0,15249969.0,58952534.0
TUREX,2024/12,2025-03-11 22:08:34,0.0429751292971882,0.028540241321776176,0.037976033686351676,0.5057731577202262,1.1737756037485993,0.008979362715344061,-0.6635514835888353,7695524.0,202641594.0,269637664.0,90568418.0,179069246.0,46699363.0,54814573.0,43869055.0,202641594.0,20212600.0,39781516.0,31786668.0,19568916.0,90568418.0
TUREX,2025/3,2025-05-12 22:51:08,0.00712529173641941,0.004777773082193522,0.027175782886142953,0.49134159656408793,1.2348218270374502,-0.19072635462569232,-0.35641101345449044,1055038.0,38822727.0,220822124.0,72752678.0,148069446.0,34827759.0,43006077.0,37924919.0,38822727.0,2659830.0,7530871.0,5678721.0,4871041.0,72752678.0
TUREX,2025/6,2025-08-04 22:23:33,0.0462908729420684,0.031515997888391885,0.08289170440896194,0.46880555403907265,1.306422812374863,-0.06767990998008061,2.896055938428357,7203936.0,86907804.0,228580292.0,72957044.0,155623248.0,39776376.0,51964765.0,33180667.0,86907804.0,6769018.0,16886583.0,11975518.0,10117565.0,72957043.0
TUREX,2025/9,2025-11-10 22:04:43,0.08095505626384515,0.05618959253926744,0.09380876224013882,0.440748234778009,1.4201854467838646,1.265500025677072,2.1438502095942615,13470477.0,143595083.0,239732598.0,73338087.0,166394511.0,41451676.0,58869067.0,31886411.0,143595083.0,14559629.0,31225908.0,23397619.0,16666279.0,73338087.0
