date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2020-01-02,16.107,16.33,15.96,16.06,1960866.0,MPARK,16.06,0,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.014321295143212898,0,0,0.09838107098381088,1,1
2020-01-03,15.677,16.06,15.33,15.57,2601884.0,MPARK,15.57,0,-0.030510585305105753,,,,,,,,,-0.039088319088318,-0.0078176638176636,-0.0312706552706544,,,-2601884.0,0.021836865767501656,1,1,0.11881824020552356,1,1
2020-01-06,15.159,15.57,14.85,14.88,1475040.0,MPARK,14.88,0,-0.044315992292870865,,,,,,,,,-0.12431035462374318,-0.03111620197887952,-0.09319415264486366,,,-4076924.0,0.07392473118279574,1,1,0.211021505376344,1,1
2020-01-07,15.376,15.68,14.9,15.46,1716624.0,MPARK,15.46,0,0.03897849462365599,,,,,,,,,-0.14339530719852256,-0.05357202302280813,-0.08982328417571443,,,-2360300.0,0.02199223803363526,1,1,0.1500646830530401,1,1
2020-01-08,15.303,15.53,14.6,15.31,1438069.8,MPARK,15.31,0,-0.009702457956015542,,,,,,,,,-0.16867958278048611,-0.07659353497434374,-0.09208604780614238,,,-3798369.8,0.07707380796864771,1,1,0.23056825604180275,1,1
2020-01-09,15.781,16.0,15.45,15.83,1912214.51,MPARK,15.83,0,0.03396472893533642,-0.014321295143212898,,,,,,,,-0.14508544447256178,-0.09029191687398735,-0.05479352759857442,,,-1886155.2899999998,0.04801010739102973,1,1,0.16614024005053696,1,1
2020-01-10,15.984,16.2,15.8,15.91,1970360.0,MPARK,15.91,0,0.005053695514845247,0.021836865767501656,,,,,,,,-0.11856484671595346,-0.09594650284238058,-0.02261834387357288,,,84204.7100000002,0.04588309239472044,1,1,0.169076052796983,1,1
2020-01-13,16.044,16.23,15.97,15.98,6015724.0,MPARK,15.98,0,0.004399748585795171,0.07392473118279574,,,,,,,,-0.09085138868196196,-0.09492748001029687,0.004076091328334905,,,6099928.71,0.030037546933667114,1,1,0.11201501877346676,1,1
2020-01-14,15.973,16.14,15.8,15.8,9882667.0,MPARK,15.8,0,-0.01126408010012514,0.02199223803363526,,,,,,,,-0.08246219633416985,-0.09243442327507147,0.009972226940901621,,,-3782738.29,0.08670886075949369,1,1,0.1386075949367087,1,1
2020-01-15,16.129,16.6,15.75,16.49,14056045.0,MPARK,16.49,0,0.043670886075949156,0.07707380796864771,,,,,,,,-0.01990699211485314,-0.07792893704302781,0.05802194492817467,,,10273306.71,0.10066707095209226,1,1,0.07883565797452996,1,1
2020-01-16,16.631,16.79,16.45,16.59,12510243.0,MPARK,16.59,0,0.006064281382656134,0.04801010739102973,,,,,,,,0.0373075638075715,-0.05488163687290795,0.09218920068047945,3.3001245330012585,,22783549.71,0.08559373116335145,1,1,0.06992163954189268,1,1
2020-01-17,16.756,16.94,16.59,16.64,5444815.0,MPARK,16.64,0,0.003013863773357439,0.04588309239472044,,,,,,,,0.08569722940140778,-0.026765863618044807,0.11246309301945259,6.87219010918434,,28228364.71,0.05889423076923084,1,1,0.0546875,1,1
2020-01-20,16.599,16.85,16.36,16.46,5424398.0,MPARK,16.46,0,-0.01081730769230771,0.030037546933667114,,,,,,,,0.10827377960283258,0.00024206502613067019,0.10803171457670191,10.618279569892476,,22803966.71,0.05042527339003633,1,1,0.051032806804374164,1,1
2020-01-21,16.898,17.2,16.36,17.17,8489235.0,MPARK,17.17,0,0.04313487241798297,0.08670886075949369,,,,,,,62.36080178173722,0.1813662473720079,0.03646690149530612,0.14489934587670178,11.060802069857711,0.5835714285714284,31293201.71,0.04542807221898637,1,1,-0.015725101921957085,0,0
