symbol,index,announcement_date,ruleType,summary,url
AEFES,1511858,2025-11-05 19:42:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511858
AEFES,1477177,2025-08-12 23:43:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477177
AEFES,1435136,2025-05-07 21:23:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435136
AEFES,1401085,2025-03-05 20:41:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401085
AEFES,1353869,2024-11-05 20:09:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353869
AEFES,1326514,2024-08-20 20:15:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326514
AEFES,1290383,2024-05-23 18:54:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1290383
AEFES,1261306,2024-03-21 23:35:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1261306
AEFES,1213300,2023-11-01 19:18:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213300
AEFES,1182359,2023-08-08 18:45:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182359
AEFES,1146553,2023-05-03 20:00:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1146553
AEFES,1117868,2023-02-28 19:11:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117868
AEFES,1076969,2022-11-04 18:38:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076969
AEFES,1076388,2022-11-02 19:13:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076388
AEFES,1054378,2022-08-10 20:32:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054378
AEFES,1028045,2022-05-09 19:22:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028045
AEFES,1003922,2022-02-23 21:51:41,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1003922
AEFES,974935,2021-11-04 18:52:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974935
AEFES,957808,2021-08-12 21:05:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957808
AEFES,934813,2021-05-05 22:31:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934813
AEFES,913168,2021-02-25 23:48:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/913168
AEFES,886436,2020-11-05 18:56:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886436
AEFES,868468,2020-08-12 21:05:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868468
AEFES,843158,2020-05-06 19:29:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/843158
AEFES,822265,2020-02-27 20:52:38,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822265
