symbol,index,announcement_date,ruleType,summary,url
AKFGY,1509241,2025-10-30 18:16:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509241
AKFGY,1509227,2025-10-30 18:16:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509227
AKFGY,1477848,2025-08-13 18:55:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477848
AKFGY,1477847,2025-08-13 18:54:29,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477847
AKFGY,1436818,2025-05-09 18:50:14,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436818
AKFGY,1436814,2025-05-09 18:48:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436814
AKFGY,1401849,2025-03-06 22:54:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401849
AKFGY,1401848,2025-03-06 22:53:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401848
AKFGY,1355950,2024-11-08 18:40:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355950
AKFGY,1355944,2024-11-08 18:38:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355944
AKFGY,1327091,2024-08-22 20:49:37,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327091
AKFGY,1327090,2024-08-22 20:48:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327090
AKFGY,1296548,2024-06-07 19:58:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1296548
AKFGY,1296547,2024-06-07 19:57:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1296547
AKFGY,1273301,2024-04-17 08:13:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1273301
AKFGY,1273281,2024-04-17 00:13:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1273281
AKFGY,1273280,2024-04-17 00:13:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1273280
AKFGY,1216440,2023-11-09 18:20:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216440
AKFGY,1216437,2023-11-09 18:20:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216437
AKFGY,1181609,2023-08-07 18:14:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181609
AKFGY,1181606,2023-08-07 18:12:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181606
AKFGY,1148214,2023-05-08 18:22:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148214
AKFGY,1148207,2023-05-08 18:21:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148207
AKFGY,1116197,2023-02-22 22:57:00,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1116197
AKFGY,1116196,2023-02-22 22:56:34,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1116196
AKFGY,1074399,2022-10-26 18:10:57,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074399
AKFGY,1074397,2022-10-26 18:10:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074397
AKFGY,1051257,2022-08-02 18:49:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1051257
AKFGY,1051256,2022-08-02 18:48:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1051256
AKFGY,1025776,2022-04-29 18:13:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025776
AKFGY,1025771,2022-04-29 18:12:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025771
AKFGY,996722,2022-01-27 22:51:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/996722
AKFGY,996721,2022-01-27 22:49:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/996721
AKFGY,974557,2021-11-03 18:11:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974557
AKFGY,974554,2021-11-03 18:10:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974554
AKFGY,954257,2021-08-02 21:29:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/954257
AKFGY,954256,2021-08-02 21:28:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/954256
AKFGY,934265,2021-05-03 19:25:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934265
AKFGY,934264,2021-05-03 19:25:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934264
AKFGY,909491,2021-02-12 20:50:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909491
AKFGY,909490,2021-02-12 20:48:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909490
AKFGY,886749,2020-11-06 18:11:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886749
AKFGY,886745,2020-11-06 18:10:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886745
AKFGY,868181,2020-08-11 19:38:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868181
AKFGY,868180,2020-08-11 19:37:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868180
AKFGY,849226,2020-06-04 18:58:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/849226
AKFGY,849225,2020-06-04 18:58:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/849225
AKFGY,819777,2020-02-17 22:55:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819777
AKFGY,819776,2020-02-17 22:54:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819776
