symbol,index,announcement_date,ruleType,summary,url
AKSEN,1514777,2025-11-10 19:00:40,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514777
AKSEN,1474295,2025-08-07 22:00:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474295
AKSEN,1474191,2025-08-07 20:00:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474191
AKSEN,1437983,2025-05-12 19:49:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437983
AKSEN,1399066,2025-03-03 19:28:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1399066
AKSEN,1354556,2024-11-06 19:32:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354556
AKSEN,1331051,2024-09-05 20:38:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1331051
AKSEN,1299113,2024-06-13 18:48:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299113
AKSEN,1284453,2024-05-09 20:17:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284453
AKSEN,1214614,2023-11-06 18:35:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214614
AKSEN,1185799,2023-08-15 20:44:37,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185799
AKSEN,1148296,2023-05-08 19:21:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148296
AKSEN,1118089,2023-02-28 22:33:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118089
AKSEN,1077595,2022-11-07 18:20:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077595
AKSEN,1056541,2022-08-17 22:05:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056541
AKSEN,1028061,2022-05-09 20:04:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028061
AKSEN,1005586,2022-02-28 23:53:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005586
AKSEN,974973,2021-11-04 19:55:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974973
AKSEN,958843,2021-08-17 20:55:44,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958843
AKSEN,936010,2021-05-10 19:22:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936010
AKSEN,913161,2021-02-25 23:30:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/913161
AKSEN,886431,2020-11-05 18:44:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886431
AKSEN,868842,2020-08-13 20:32:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868842
AKSEN,846034,2020-05-20 18:37:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/846034
AKSEN,822323,2020-02-28 06:07:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822323
