symbol,index,announcement_date,ruleType,summary,url
ALFAS,1514818,2025-11-10 19:19:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514818
ALFAS,1480706,2025-08-19 18:16:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480706
ALFAS,1437827,2025-05-12 18:56:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437827
ALFAS,1405002,2025-03-11 21:56:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405002
ALFAS,1356515,2024-11-11 18:19:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356515
ALFAS,1337431,2024-09-24 19:02:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337431
ALFAS,1299790,2024-06-14 19:29:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299790
ALFAS,1286722,2024-05-15 18:56:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1286722
ALFAS,1216041,2023-11-08 19:10:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216041
ALFAS,1180932,2023-08-04 18:11:37,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1180932
ALFAS,1178270,2023-07-31 21:17:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1178270
ALFAS,1145337,2023-05-02 19:43:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1145337
ALFAS,1117227,2023-02-27 18:16:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117227
ALFAS,1082980,2022-11-29 19:30:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1082980
