symbol,index,announcement_date,ruleType,summary,url
ASELS,1511313,2025-11-04 18:37:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511313
ASELS,1472637,2025-08-05 19:33:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1472637
ASELS,1431115,2025-04-29 18:30:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431115
ASELS,1395801,2025-02-25 18:49:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1395801
ASELS,1348854,2024-10-15 18:47:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1348854
ASELS,1332647,2024-09-10 18:31:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1332647
ASELS,1291839,2024-05-28 18:28:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1291839
ASELS,1262825,2024-03-26 18:30:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1262825
ASELS,1212689,2023-10-31 19:19:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1212689
ASELS,1185767,2023-08-15 19:11:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185767
ASELS,1141439,2023-04-26 19:47:07,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1141439
ASELS,1117839,2023-02-28 18:57:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117839
ASELS,1072989,2022-10-19 19:38:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1072989
ASELS,1054808,2022-08-11 19:11:37,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054808
ASELS,1024084,2022-04-26 19:38:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024084
ASELS,1006150,2022-03-01 20:22:05,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006150
ASELS,972600,2021-10-26 18:38:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972600
ASELS,957064,2021-08-10 19:17:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957064
ASELS,931412,2021-04-27 18:32:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931412
ASELS,911957,2021-02-23 18:45:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911957
ASELS,884518,2020-10-27 18:58:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884518
ASELS,869757,2020-08-18 18:38:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869757
ASELS,848639,2020-06-02 18:53:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/848639
ASELS,818469,2020-02-11 18:22:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818469
