symbol,index,announcement_date,ruleType,summary,url
BAGFS,1515863,2025-11-11 20:27:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515863
BAGFS,1514494,2025-11-10 18:22:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514494
BAGFS,1479951,2025-08-18 18:13:29,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479951
BAGFS,1434268,2025-05-06 18:14:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1434268
BAGFS,1404394,2025-03-11 18:16:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404394
BAGFS,1356451,2024-11-11 18:14:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356451
BAGFS,1338968,2024-09-30 18:12:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338968
BAGFS,1300746,2024-06-21 18:41:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300746
BAGFS,1264528,2024-03-29 19:49:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1264528
BAGFS,1216459,2023-11-09 18:22:25,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216459
BAGFS,1187715,2023-08-21 18:11:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187715
BAGFS,1150155,2023-05-10 20:52:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150155
BAGFS,1123000,2023-03-10 19:27:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123000
BAGFS,1077577,2022-11-07 18:16:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077577
BAGFS,1057305,2022-08-19 19:20:26,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057305
BAGFS,1028755,2022-05-10 18:52:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028755
BAGFS,1007097,2022-03-03 21:43:52,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1007097
BAGFS,976513,2021-11-09 18:41:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976513
BAGFS,959457,2021-08-19 19:47:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959457
BAGFS,941509,2021-06-09 18:38:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941509
BAGFS,914986,2021-03-03 22:03:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914986
BAGFS,887597,2020-11-09 21:17:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887597
BAGFS,869786,2020-08-18 19:01:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869786
BAGFS,847884,2020-05-29 21:41:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847884
BAGFS,822157,2020-02-27 18:56:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822157
