symbol,index,announcement_date,ruleType,summary,url
BERA,1514423,2025-11-10 18:16:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514423
BERA,1480696,2025-08-19 18:15:48,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480696
BERA,1437569,2025-05-12 18:15:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437569
BERA,1404612,2025-03-11 18:55:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404612
BERA,1356504,2024-11-11 18:18:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356504
BERA,1340145,2024-10-01 18:16:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1340145
BERA,1339122,2024-09-30 19:26:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339122
BERA,1300741,2024-06-21 18:38:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300741
BERA,1288400,2024-05-20 19:16:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288400
BERA,1216357,2023-11-09 18:12:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216357
BERA,1187726,2023-08-21 18:13:26,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187726
BERA,1149767,2023-05-10 18:13:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149767
BERA,1122909,2023-03-10 18:31:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1122909
BERA,1078166,2022-11-08 18:21:14,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078166
BERA,1056896,2022-08-18 19:39:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056896
BERA,1028671,2022-05-10 18:35:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028671
BERA,1009133,2022-03-10 18:17:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009133
BERA,976458,2021-11-09 18:24:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976458
BERA,959319,2021-08-19 18:11:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959319
BERA,937990,2021-05-25 18:15:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/937990
BERA,921164,2021-03-26 18:15:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/921164
BERA,916975,2021-03-10 18:56:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/916975
BERA,887289,2020-11-09 18:12:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887289
BERA,870009,2020-08-19 18:15:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870009
BERA,849972,2020-06-08 18:24:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/849972
BERA,826409,2020-03-10 18:19:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826409
