symbol,index,announcement_date,ruleType,summary,url
BIMAS,1514897,2025-11-10 20:11:03,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514897
BIMAS,1478794,2025-08-14 20:21:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478794
BIMAS,1435886,2025-05-08 20:01:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435886
BIMAS,1405385,2025-03-12 00:15:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405385
BIMAS,1356968,2024-11-11 22:21:32,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356968
BIMAS,1338185,2024-09-26 20:14:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338185
BIMAS,1298736,2024-06-12 20:13:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1298736
BIMAS,1285893,2024-05-13 22:45:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1285893
BIMAS,1215319,2023-11-07 18:47:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215319
BIMAS,1186857,2023-08-17 23:36:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186857
BIMAS,1148255,2023-05-08 18:42:04,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148255
BIMAS,1124000,2023-03-13 21:13:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124000
BIMAS,1078272,2022-11-08 18:43:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078272
BIMAS,1056484,2022-08-17 20:28:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056484
BIMAS,1027937,2022-05-09 18:20:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027937
BIMAS,1006673,2022-03-02 22:00:13,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006673
BIMAS,976015,2021-11-08 19:16:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976015
BIMAS,957815,2021-08-12 21:42:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957815
BIMAS,935047,2021-05-06 18:58:04,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935047
BIMAS,916416,2021-03-08 23:22:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/916416
BIMAS,887382,2020-11-09 18:37:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887382
BIMAS,869839,2020-08-18 21:49:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869839
BIMAS,845059,2020-05-14 18:22:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845059
BIMAS,824413,2020-03-04 22:18:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824413
