symbol,index,announcement_date,ruleType,summary,url
BIOEN,1513423,2025-11-07 18:55:00,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513423
BIOEN,1479536,2025-08-15 23:29:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479536
BIOEN,1436865,2025-05-09 19:16:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436865
BIOEN,1403855,2025-03-10 22:04:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403855
BIOEN,1356831,2024-11-11 20:00:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356831
BIOEN,1337800,2024-09-25 19:27:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337800
BIOEN,1300910,2024-06-21 23:18:44,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300910
BIOEN,1287778,2024-05-17 19:53:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287778
BIOEN,1216026,2023-11-08 18:54:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216026
BIOEN,1187862,2023-08-21 18:52:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187862
BIOEN,1149868,2023-05-10 18:30:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149868
BIOEN,1124120,2023-03-13 22:43:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124120
BIOEN,1078353,2022-11-08 19:31:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078353
BIOEN,1056911,2022-08-18 20:03:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056911
BIOEN,1028049,2022-05-09 19:32:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028049
BIOEN,1000752,2022-02-09 20:16:38,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000752
BIOEN,976623,2021-11-09 20:50:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976623
BIOEN,958719,2021-08-17 18:17:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958719
BIOEN,938784,2021-05-28 18:43:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938784
