symbol,index,announcement_date,ruleType,summary,url
BIZIM,1511859,2025-11-05 19:42:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511859
BIZIM,1478639,2025-08-14 19:02:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478639
BIZIM,1435093,2025-05-07 19:41:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435093
BIZIM,1401825,2025-03-06 21:45:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401825
BIZIM,1353855,2024-11-05 19:17:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353855
BIZIM,1333643,2024-09-12 18:32:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1333643
BIZIM,1297324,2024-06-10 18:41:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1297324
BIZIM,1279639,2024-04-30 18:29:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1279639
BIZIM,1215346,2023-11-07 19:12:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215346
BIZIM,1184112,2023-08-10 19:50:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184112
BIZIM,1149944,2023-05-10 18:46:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149944
BIZIM,1123916,2023-03-13 20:23:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123916
BIZIM,1078947,2022-11-09 19:43:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078947
BIZIM,1056086,2022-08-16 20:55:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056086
BIZIM,1028016,2022-05-09 19:03:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028016
BIZIM,1010044,2022-03-11 22:34:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010044
BIZIM,976579,2021-11-09 19:36:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976579
BIZIM,958397,2021-08-16 18:34:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958397
BIZIM,935434,2021-05-07 19:36:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935434
BIZIM,916672,2021-03-09 19:53:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/916672
BIZIM,884538,2020-10-27 19:24:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884538
BIZIM,862858,2020-07-28 19:15:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/862858
BIZIM,840953,2020-04-28 21:22:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/840953
BIZIM,822290,2020-02-27 21:45:00,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822290
