symbol,index,announcement_date,ruleType,summary,url
BMSCH,1514383,2025-11-10 18:12:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514383
BMSCH,1479939,2025-08-18 18:12:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479939
BMSCH,1437587,2025-05-12 18:16:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437587
BMSCH,1400323,2025-03-04 18:35:59,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1400323
BMSCH,1356513,2024-11-11 18:19:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356513
BMSCH,1339032,2024-09-30 18:33:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339032
BMSCH,1295725,2024-06-06 19:53:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1295725
BMSCH,1288321,2024-05-20 18:45:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288321
BMSCH,1216361,2023-11-09 18:13:05,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216361
BMSCH,1183173,2023-08-09 20:26:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183173
BMSCH,1149844,2023-05-10 18:25:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149844
BMSCH,1120665,2023-03-06 20:19:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120665
BMSCH,1074873,2022-10-27 19:28:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074873
BMSCH,1053554,2022-08-09 18:12:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053554
BMSCH,1053180,2022-08-08 19:32:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053180
BMSCH,1024972,2022-04-28 18:12:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024972
BMSCH,1002213,2022-02-16 19:55:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002213
BMSCH,973506,2021-11-01 18:11:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973506
BMSCH,956420,2021-08-09 19:56:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956420
BMSCH,944238,2021-06-25 18:11:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/944238
