symbol,index,announcement_date,ruleType,summary,url
BRISA,1509472,2025-10-30 19:45:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509472
BRISA,1473388,2025-08-06 22:03:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473388
BRISA,1432357,2025-04-30 20:11:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432357
BRISA,1396308,2025-02-26 18:58:09,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1396308
BRISA,1352375,2024-10-31 19:50:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1352375
BRISA,1326779,2024-08-21 19:36:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326779
BRISA,1292430,2024-05-29 19:56:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292430
BRISA,1260041,2024-03-18 23:25:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1260041
BRISA,1213297,2023-11-01 19:09:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213297
BRISA,1181709,2023-08-07 19:01:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181709
BRISA,1146494,2023-05-03 18:39:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1146494
BRISA,1116191,2023-02-22 22:48:05,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1116191
BRISA,1074858,2022-10-27 19:06:03,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074858
BRISA,1054308,2022-08-10 18:18:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054308
BRISA,1026842,2022-05-05 18:40:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1026842
BRISA,1003013,2022-02-19 00:52:19,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1003013
BRISA,973814,2021-11-01 20:47:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973814
BRISA,956273,2021-08-09 18:41:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956273
BRISA,933753,2021-04-30 20:46:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/933753
BRISA,911202,2021-02-19 21:29:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911202
BRISA,885057,2020-10-30 18:15:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885057
BRISA,866922,2020-08-07 20:23:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866922
BRISA,841263,2020-04-29 19:37:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841263
BRISA,819991,2020-02-19 04:07:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819991
