symbol,index,announcement_date,ruleType,summary,url
BUCIM,1514392,2025-11-10 18:13:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514392
BUCIM,1481751,2025-08-21 18:12:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481751
BUCIM,1480713,2025-08-19 18:18:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480713
BUCIM,1436696,2025-05-09 18:17:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436696
BUCIM,1402680,2025-03-07 20:45:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1402680
BUCIM,1356775,2024-11-11 19:34:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356775
BUCIM,1338586,2024-09-27 18:46:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338586
BUCIM,1300638,2024-06-21 18:13:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300638
BUCIM,1258581,2024-03-13 18:14:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1258581
BUCIM,1257207,2024-03-08 20:10:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1257207
BUCIM,1215907,2023-11-08 18:15:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215907
BUCIM,1186618,2023-08-17 18:42:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186618
BUCIM,1148995,2023-05-09 18:15:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148995
BUCIM,1117350,2023-02-27 19:52:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117350
BUCIM,1078123,2022-11-08 18:13:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078123
BUCIM,1056050,2022-08-16 18:53:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056050
BUCIM,1028528,2022-05-10 18:13:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028528
BUCIM,1002838,2022-02-18 18:16:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002838
BUCIM,975892,2021-11-08 18:13:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975892
BUCIM,961006,2021-08-31 18:12:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/961006
BUCIM,958700,2021-08-17 18:13:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958700
BUCIM,936222,2021-05-11 18:10:56,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936222
BUCIM,911122,2021-02-19 18:21:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911122
BUCIM,886764,2020-11-06 18:12:52,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886764
BUCIM,869113,2020-08-14 18:14:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869113
BUCIM,845524,2020-05-15 18:28:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845524
BUCIM,820548,2020-02-20 18:18:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/820548
