symbol,index,announcement_date,ruleType,summary,url
CANTE,1514868,2025-11-10 19:45:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514868
CANTE,1475466,2025-08-10 18:52:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1475466
CANTE,1437772,2025-05-12 18:42:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437772
CANTE,1405247,2025-03-11 23:36:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405247
CANTE,1356739,2024-11-11 19:03:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356739
CANTE,1339192,2024-09-30 20:29:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339192
CANTE,1300761,2024-06-21 19:09:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300761
CANTE,1262788,2024-03-26 18:16:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1262788
CANTE,1208336,2023-10-20 20:13:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1208336
CANTE,1173604,2023-07-19 20:50:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1173604
CANTE,1150205,2023-05-10 21:58:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150205
CANTE,1105034,2023-01-26 18:17:22,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1105034
CANTE,1078442,2022-11-08 22:39:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078442
CANTE,1049413,2022-07-29 18:18:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1049413
CANTE,1021207,2022-04-15 18:16:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1021207
CANTE,999387,2022-02-03 22:01:34,Yıllık,,https://www.kap.org.tr/tr/Bildirim/999387
CANTE,972278,2021-10-25 19:00:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972278
CANTE,960827,2021-08-27 18:11:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/960827
CANTE,959387,2021-08-19 18:27:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959387
CANTE,936392,2021-05-12 14:04:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936392
