symbol,index,announcement_date,ruleType,summary,url
CEMTS,1508491,2025-10-27 18:46:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508491
CEMTS,1474039,2025-08-07 18:16:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474039
CEMTS,1431068,2025-04-29 18:17:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431068
CEMTS,1394157,2025-02-19 18:17:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1394157
CEMTS,1351850,2024-10-30 18:46:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351850
CEMTS,1332625,2024-09-10 18:17:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1332625
CEMTS,1293859,2024-06-03 18:16:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1293859
CEMTS,1254061,2024-03-01 18:55:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254061
CEMTS,1210050,2023-10-25 18:39:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210050
CEMTS,1182258,2023-08-08 18:16:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182258
CEMTS,1142075,2023-04-27 18:28:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142075
CEMTS,1115300,2023-02-20 18:17:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115300
CEMTS,1074441,2022-10-26 18:18:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074441
CEMTS,1051595,2022-08-03 18:25:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1051595
CEMTS,1025006,2022-04-28 18:17:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025006
CEMTS,1000937,2022-02-10 18:37:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000937
CEMTS,972539,2021-10-26 18:17:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972539
CEMTS,954792,2021-08-04 18:20:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/954792
CEMTS,931391,2021-04-27 18:18:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931391
CEMTS,908658,2021-02-09 18:16:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/908658
CEMTS,884017,2020-10-26 18:19:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884017
CEMTS,862137,2020-07-27 18:36:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/862137
CEMTS,842390,2020-05-04 18:15:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/842390
CEMTS,818255,2020-02-10 19:30:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818255
