symbol,index,announcement_date,ruleType,summary,url
CLEBI,1514514,2025-11-10 18:24:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514514
CLEBI,1481105,2025-08-19 22:46:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481105
CLEBI,1437755,2025-05-12 18:39:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437755
CLEBI,1405181,2025-03-11 23:09:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405181
CLEBI,1356791,2024-11-11 19:40:50,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356791
CLEBI,1326197,2024-08-19 22:41:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326197
CLEBI,1285254,2024-05-10 20:31:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285254
CLEBI,1257787,2024-03-12 01:30:07,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1257787
CLEBI,1216754,2023-11-09 22:24:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216754
CLEBI,1187996,2023-08-21 21:05:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187996
CLEBI,1149953,2023-05-10 18:48:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149953
CLEBI,1121362,2023-03-07 22:29:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121362
CLEBI,1078966,2022-11-09 19:53:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078966
CLEBI,1056983,2022-08-19 00:57:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056983
CLEBI,1028952,2022-05-10 22:20:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028952
CLEBI,1009837,2022-03-11 19:49:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009837
CLEBI,975991,2021-11-08 19:01:25,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975991
CLEBI,959192,2021-08-19 01:56:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959192
CLEBI,938798,2021-05-28 19:14:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938798
CLEBI,917507,2021-03-11 19:39:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917507
CLEBI,887539,2020-11-09 19:49:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887539
CLEBI,869246,2020-08-14 23:22:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869246
CLEBI,848333,2020-06-01 20:22:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/848333
CLEBI,824042,2020-03-03 20:57:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824042
