symbol,index,announcement_date,ruleType,summary,url
DOAS,1514588,2025-11-10 18:30:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514588
DOAS,1480802,2025-08-19 18:31:04,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480802
DOAS,1437725,2025-05-12 18:32:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437725
DOAS,1397489,2025-02-28 18:30:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397489
DOAS,1356607,2024-11-11 18:31:03,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356607
DOAS,1328637,2024-08-28 18:30:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1328637
DOAS,1293303,2024-05-31 18:30:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1293303
DOAS,1259378,2024-03-15 23:09:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1259378
DOAS,1216560,2023-11-09 18:46:00,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216560
DOAS,1187812,2023-08-21 18:40:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187812
DOAS,1149159,2023-05-09 19:00:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149159
DOAS,1117880,2023-02-28 19:17:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117880
DOAS,1078871,2022-11-09 18:40:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078871
DOAS,1056870,2022-08-18 19:01:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056870
DOAS,1028749,2022-05-10 18:50:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028749
DOAS,1005360,2022-02-28 18:58:59,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005360
DOAS,976526,2021-11-09 18:49:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976526
DOAS,959423,2021-08-19 18:41:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959423
DOAS,935972,2021-05-10 18:47:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935972
DOAS,911959,2021-02-23 18:46:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911959
DOAS,887422,2020-11-09 18:46:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887422
DOAS,870054,2020-08-19 18:41:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870054
DOAS,850326,2020-06-09 18:47:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850326
DOAS,823074,2020-02-28 21:13:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823074
