symbol,index,announcement_date,ruleType,summary,url
DOHOL,1512387,2025-11-06 18:18:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512387
DOHOL,1477077,2025-08-12 19:14:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477077
DOHOL,1435837,2025-05-08 18:34:47,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435837
DOHOL,1400523,2025-03-05 05:47:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1400523
DOHOL,1355225,2024-11-07 20:08:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355225
DOHOL,1338151,2024-09-26 19:19:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338151
DOHOL,1299242,2024-06-14 07:19:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299242
DOHOL,1283848,2024-05-09 03:47:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1283848
DOHOL,1215224,2023-11-07 18:21:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215224
DOHOL,1186850,2023-08-17 23:27:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186850
DOHOL,1149327,2023-05-09 23:03:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149327
DOHOL,1119450,2023-03-03 06:10:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1119450
DOHOL,1078341,2022-11-08 19:25:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078341
DOHOL,1056557,2022-08-18 06:36:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056557
DOHOL,1028885,2022-05-10 20:25:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028885
DOHOL,1007131,2022-03-04 00:52:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1007131
DOHOL,975457,2021-11-06 00:51:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975457
DOHOL,959155,2021-08-18 20:47:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959155
DOHOL,935510,2021-05-09 21:12:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935510
DOHOL,914292,2021-03-01 21:41:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914292
DOHOL,886951,2020-11-06 22:11:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886951
DOHOL,868870,2020-08-13 23:23:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868870
DOHOL,847504,2020-05-28 20:22:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847504
DOHOL,822318,2020-02-28 02:21:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822318
