symbol,index,announcement_date,ruleType,summary,url
ENKAI,1513432,2025-11-07 18:58:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513432
ENKAI,1479432,2025-08-15 19:42:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479432
ENKAI,1436758,2025-05-09 18:28:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436758
ENKAI,1401122,2025-03-05 23:26:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401122
ENKAI,1355859,2024-11-08 18:20:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355859
ENKAI,1325820,2024-08-16 19:51:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325820
ENKAI,1285154,2024-05-10 18:39:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285154
ENKAI,1256060,2024-03-06 21:03:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1256060
ENKAI,1215954,2023-11-08 18:22:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215954
ENKAI,1186181,2023-08-16 19:26:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186181
ENKAI,1149270,2023-05-09 20:51:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149270
ENKAI,1120253,2023-03-04 01:56:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120253
ENKAI,1078337,2022-11-08 19:19:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078337
ENKAI,1056055,2022-08-16 18:58:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056055
ENKAI,1028038,2022-05-09 19:18:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028038
ENKAI,1006680,2022-03-02 22:55:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006680
ENKAI,975297,2021-11-05 18:21:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975297
ENKAI,958137,2021-08-13 19:44:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958137
ENKAI,936286,2021-05-11 19:03:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936286
ENKAI,915262,2021-03-04 19:49:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915262
ENKAI,886899,2020-11-06 19:02:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886899
ENKAI,868837,2020-08-13 20:21:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868837
ENKAI,847789,2020-05-29 18:25:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847789
ENKAI,824400,2020-03-04 21:13:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824400
