symbol,index,announcement_date,ruleType,summary,url
EREGL,1506134,2025-10-20 18:12:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1506134
EREGL,1473202,2025-08-06 18:12:26,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473202
EREGL,1431038,2025-04-29 18:12:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431038
EREGL,1392292,2025-02-12 18:19:41,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1392292
EREGL,1350040,2024-10-22 18:16:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350040
EREGL,1325437,2024-08-15 21:20:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325437
EREGL,1284223,2024-05-09 18:12:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1284223
EREGL,1251378,2024-02-22 18:14:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1251378
EREGL,1210657,2023-10-26 19:32:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210657
EREGL,1182232,2023-08-08 18:13:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182232
EREGL,1144939,2023-05-02 18:16:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144939
EREGL,1119930,2023-03-03 18:16:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1119930
EREGL,1074424,2022-10-26 18:14:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074424
EREGL,1053567,2022-08-09 18:13:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053567
EREGL,1024382,2022-04-27 18:14:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024382
EREGL,1000957,2022-02-10 18:55:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000957
EREGL,972561,2021-10-26 18:21:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972561
EREGL,956323,2021-08-09 18:55:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956323
EREGL,932536,2021-04-29 18:16:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932536
EREGL,909155,2021-02-11 18:30:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909155
EREGL,883115,2020-10-22 18:17:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/883115
EREGL,866144,2020-08-06 18:26:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866144
EREGL,841323,2020-04-29 23:34:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841323
EREGL,841216,2020-04-29 18:17:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841216
EREGL,818457,2020-02-11 18:16:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818457
