symbol,index,announcement_date,ruleType,summary,url
FONET,1514689,2025-11-10 18:38:57,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514689
FONET,1480062,2025-08-18 18:39:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480062
FONET,1437969,2025-05-12 19:44:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437969
FONET,1401758,2025-03-06 19:44:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401758
FONET,1354622,2024-11-06 21:49:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354622
FONET,1329440,2024-09-02 19:32:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1329440
FONET,1300374,2024-06-20 21:23:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300374
FONET,1281214,2024-05-03 18:36:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1281214
FONET,1211738,2023-10-30 18:17:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211738
FONET,1184644,2023-08-11 18:21:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184644
FONET,1150172,2023-05-10 21:14:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150172
FONET,1123799,2023-03-13 19:26:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123799
FONET,1078298,2022-11-08 19:00:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078298
FONET,1055641,2022-08-15 19:45:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055641
FONET,1028547,2022-05-10 18:14:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028547
FONET,1002478,2022-02-17 18:16:09,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002478
FONET,974849,2021-11-04 18:15:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974849
FONET,959573,2021-08-19 23:23:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959573
FONET,934233,2021-05-03 18:19:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934233
FONET,910579,2021-02-17 19:08:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910579
FONET,886827,2020-11-06 18:24:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886827
FONET,865084,2020-08-04 19:17:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/865084
FONET,850410,2020-06-09 23:32:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850410
FONET,819781,2020-02-17 23:11:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819781
