symbol,index,announcement_date,ruleType,summary,url
GOODY,1507506,2025-10-23 19:44:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1507506
GOODY,1474261,2025-08-07 20:49:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474261
GOODY,1430507,2025-04-28 19:36:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1430507
GOODY,1396883,2025-02-27 22:38:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1396883
GOODY,1351111,2024-10-25 21:38:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351111
GOODY,1335948,2024-09-19 18:35:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1335948
GOODY,1292924,2024-05-30 20:54:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292924
GOODY,1263997,2024-03-28 21:22:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1263997
GOODY,1211889,2023-10-30 18:54:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211889
GOODY,1183006,2023-08-09 18:36:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183006
GOODY,1182331,2023-08-08 18:37:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182331
GOODY,1142196,2023-04-27 19:15:07,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142196
GOODY,1117743,2023-02-28 18:26:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117743
GOODY,1075551,2022-10-31 18:43:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075551
GOODY,1053097,2022-08-08 18:30:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053097
GOODY,1025048,2022-04-28 18:27:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025048
GOODY,1005251,2022-02-28 18:18:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005251
GOODY,973170,2021-10-28 12:53:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973170
GOODY,973058,2021-10-27 19:01:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973058
GOODY,956271,2021-08-09 18:40:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956271
GOODY,931932,2021-04-28 18:26:10,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931932
GOODY,913050,2021-02-25 19:02:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/913050
GOODY,884439,2020-10-27 18:20:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884439
GOODY,866187,2020-08-06 19:10:34,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866187
GOODY,847782,2020-05-29 18:22:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847782
GOODY,822193,2020-02-27 19:25:41,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822193
