symbol,index,announcement_date,ruleType,summary,url
GSDDE,1514851,2025-11-10 19:38:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514851
GSDDE,1480149,2025-08-18 19:22:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480149
GSDDE,1437754,2025-05-12 18:38:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437754
GSDDE,1404649,2025-03-11 19:09:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404649
GSDDE,1356503,2024-11-11 18:18:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356503
GSDDE,1334621,2024-09-16 20:03:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1334621
GSDDE,1299904,2024-06-14 22:36:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299904
GSDDE,1281356,2024-05-03 21:39:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1281356
GSDDE,1216668,2023-11-09 19:38:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216668
GSDDE,1187821,2023-08-21 18:43:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187821
GSDDE,1149749,2023-05-10 18:11:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149749
GSDDE,1124064,2023-03-13 22:10:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124064
GSDDE,1078666,2022-11-09 18:11:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078666
GSDDE,1057292,2022-08-19 19:11:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057292
GSDDE,1028502,2022-05-10 18:11:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028502
GSDDE,1010071,2022-03-11 23:12:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010071
GSDDE,976589,2021-11-09 19:41:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976589
GSDDE,959308,2021-08-19 18:10:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959308
GSDDE,941481,2021-06-09 18:17:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941481
GSDDE,917715,2021-03-11 23:16:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917715
GSDDE,887399,2020-11-09 18:41:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887399
GSDDE,870152,2020-08-19 19:52:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870152
GSDDE,850177,2020-06-09 18:11:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850177
GSDDE,826647,2020-03-10 21:32:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826647
