symbol,index,announcement_date,ruleType,summary,url
GUBRF,1513356,2025-11-07 18:30:14,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513356
GUBRF,1479433,2025-08-15 19:42:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479433
GUBRF,1443388,2025-05-29 20:10:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1443388
GUBRF,1415138,2025-03-28 19:35:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1415138
GUBRF,1356718,2024-11-11 18:59:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356718
GUBRF,1337868,2024-09-25 22:09:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337868
GUBRF,1300377,2024-06-20 21:40:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300377
GUBRF,1269142,2024-04-07 00:00:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1269142
GUBRF,1216597,2023-11-09 19:04:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216597
GUBRF,1187437,2023-08-18 23:37:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187437
GUBRF,1152152,2023-05-17 23:07:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1152152
GUBRF,1126066,2023-03-17 23:42:05,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1126066
GUBRF,1078358,2022-11-08 19:35:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078358
GUBRF,1057243,2022-08-19 18:26:04,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057243
GUBRF,1031333,2022-05-18 23:50:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1031333
GUBRF,1010136,2022-03-11 23:55:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010136
GUBRF,976699,2021-11-09 22:54:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976699
GUBRF,959479,2021-08-19 19:57:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959479
GUBRF,938849,2021-05-29 12:14:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938849
GUBRF,938811,2021-05-28 20:07:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938811
GUBRF,917139,2021-03-10 23:11:41,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917139
GUBRF,886978,2020-11-07 19:48:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886978
GUBRF,869842,2020-08-18 21:54:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869842
GUBRF,850015,2020-06-08 19:39:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850015
GUBRF,826741,2020-03-10 23:43:08,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826741
