symbol,index,announcement_date,ruleType,summary,url
GWIND,1511299,2025-11-04 18:30:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511299
GWIND,1474232,2025-08-07 20:08:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474232
GWIND,1433649,2025-05-05 18:38:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1433649
GWIND,1396922,2025-02-28 01:00:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1396922
GWIND,1353384,2024-11-04 18:42:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353384
GWIND,1331066,2024-09-05 21:53:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1331066
GWIND,1294554,2024-06-04 19:22:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1294554
GWIND,1261286,2024-03-21 22:25:28,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1261286
GWIND,1213752,2023-11-02 19:20:14,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213752
GWIND,1184096,2023-08-10 19:39:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184096
GWIND,1146502,2023-05-03 18:41:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1146502
GWIND,1116107,2023-02-22 18:30:28,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1116107
GWIND,1115734,2023-02-21 23:21:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115734
GWIND,1076365,2022-11-02 18:34:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076365
GWIND,1054853,2022-08-11 20:52:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054853
GWIND,1025010,2022-04-28 18:18:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025010
GWIND,1004309,2022-02-24 23:30:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1004309
GWIND,974073,2021-11-02 19:06:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974073
GWIND,958446,2021-08-16 20:15:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958446
GWIND,935386,2021-05-07 18:34:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935386
