symbol,index,announcement_date,ruleType,summary,url
HLGYO,1515056,2025-11-10 21:45:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515056
HLGYO,1515054,2025-11-10 21:45:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515054
HLGYO,1481134,2025-08-20 01:49:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481134
HLGYO,1481133,2025-08-20 01:48:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481133
HLGYO,1438222,2025-05-12 23:41:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438222
HLGYO,1438221,2025-05-12 23:41:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438221
HLGYO,1397842,2025-03-01 01:32:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397842
HLGYO,1397841,2025-03-01 01:31:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397841
HLGYO,1357022,2024-11-11 23:21:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357022
HLGYO,1357021,2024-11-11 23:21:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357021
HLGYO,1333251,2024-09-11 22:57:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1333251
HLGYO,1333250,2024-09-11 22:57:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1333250
HLGYO,1304252,2024-07-02 02:30:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1304252
HLGYO,1304251,2024-07-02 02:30:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1304251
HLGYO,1287788,2024-05-17 20:27:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287788
HLGYO,1287787,2024-05-17 20:27:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287787
HLGYO,1216573,2023-11-09 18:48:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216573
HLGYO,1216568,2023-11-09 18:48:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216568
HLGYO,1184175,2023-08-10 23:40:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184175
HLGYO,1184174,2023-08-10 23:40:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184174
HLGYO,1150297,2023-05-11 05:40:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150297
HLGYO,1150296,2023-05-11 05:39:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150296
HLGYO,1115030,2023-02-18 07:16:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115030
HLGYO,1115029,2023-02-18 07:15:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115029
HLGYO,1079668,2022-11-12 00:30:49,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079668
HLGYO,1079667,2022-11-12 00:30:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079667
HLGYO,1055259,2022-08-12 20:28:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055259
HLGYO,1055258,2022-08-12 20:27:48,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055258
HLGYO,1030061,2022-05-13 02:36:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1030061
HLGYO,1030060,2022-05-13 02:35:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1030060
HLGYO,1001692,2022-02-14 19:42:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001692
HLGYO,976613,2021-11-09 20:13:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976613
HLGYO,956413,2021-08-09 19:50:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956413
HLGYO,935415,2021-05-07 18:48:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935415
HLGYO,909778,2021-02-15 20:11:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909778
HLGYO,887537,2020-11-09 19:48:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887537
HLGYO,867663,2020-08-10 20:12:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867663
HLGYO,845089,2020-05-14 18:51:14,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845089
HLGYO,819274,2020-02-14 20:19:38,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819274
