symbol,index,announcement_date,ruleType,summary,url
HUNER,1515164,2025-11-11 03:07:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515164
HUNER,1481049,2025-08-19 20:56:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481049
HUNER,1442059,2025-05-26 18:13:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1442059
HUNER,1438049,2025-05-12 20:38:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438049
HUNER,1403569,2025-03-10 18:28:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403569
HUNER,1357032,2024-11-11 23:53:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357032
HUNER,1326202,2024-08-19 22:50:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326202
HUNER,1290977,2024-05-25 01:48:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1290977
HUNER,1257756,2024-03-11 23:10:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1257756
HUNER,1216424,2023-11-09 18:18:00,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216424
HUNER,1185710,2023-08-15 18:26:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185710
HUNER,1150293,2023-05-11 04:34:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150293
HUNER,1123781,2023-03-13 19:22:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123781
HUNER,1078882,2022-11-09 18:43:57,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078882
HUNER,1056805,2022-08-18 18:20:34,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056805
HUNER,1029009,2022-05-11 02:08:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1029009
HUNER,1011874,2022-03-21 22:14:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1011874
