symbol,index,announcement_date,ruleType,summary,url
INDES,1514561,2025-11-10 18:29:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514561
INDES,1481092,2025-08-19 22:23:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481092
INDES,1438010,2025-05-12 20:05:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438010
INDES,1405355,2025-03-11 23:59:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405355
INDES,1357367,2024-11-12 18:40:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357367
INDES,1357015,2024-11-11 23:14:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357015
INDES,1339276,2024-09-30 22:26:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339276
INDES,1299962,2024-06-15 10:41:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299962
INDES,1287259,2024-05-17 08:31:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287259
INDES,1215394,2023-11-07 20:13:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215394
INDES,1186111,2023-08-16 18:20:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186111
INDES,1149857,2023-05-10 18:28:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149857
INDES,1117671,2023-02-28 18:15:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117671
INDES,1077581,2022-11-07 18:18:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077581
INDES,1055984,2022-08-16 18:15:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055984
INDES,1027906,2022-05-09 18:15:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027906
INDES,1005223,2022-02-28 18:15:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005223
INDES,975906,2021-11-08 18:19:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975906
INDES,958352,2021-08-16 18:14:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958352
INDES,934486,2021-05-04 18:32:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934486
INDES,914016,2021-03-01 18:13:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914016
INDES,886765,2020-11-06 18:12:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886765
INDES,869468,2020-08-17 18:13:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869468
INDES,849608,2020-06-05 18:13:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/849608
INDES,825743,2020-03-09 18:15:22,Yıllık,,https://www.kap.org.tr/tr/Bildirim/825743
