symbol,index,announcement_date,ruleType,summary,url
IPEKE,1480022,2025-08-18 18:29:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480022
IPEKE,1445373,2025-06-03 18:13:07,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1445373
IPEKE,1411580,2025-03-25 18:50:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1411580
IPEKE,1359685,2024-11-21 18:19:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359685
IPEKE,1339295,2024-09-30 22:36:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339295
IPEKE,1313218,2024-07-17 18:13:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1313218
IPEKE,1290935,2024-05-24 21:52:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1290935
IPEKE,1211700,2023-10-30 18:15:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211700
IPEKE,1182991,2023-08-09 18:31:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182991
IPEKE,1144991,2023-05-02 18:17:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144991
IPEKE,1118791,2023-03-01 21:46:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118791
IPEKE,1075470,2022-10-31 18:19:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075470
IPEKE,1054851,2022-08-11 20:41:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054851
IPEKE,1053797,2022-08-09 20:01:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053797
IPEKE,1025829,2022-04-29 18:22:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025829
IPEKE,1005907,2022-03-01 18:14:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005907
IPEKE,973557,2021-11-01 18:14:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973557
IPEKE,956167,2021-08-09 18:14:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956167
IPEKE,932518,2021-04-29 18:14:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932518
IPEKE,914148,2021-03-01 18:54:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914148
IPEKE,887497,2020-11-09 19:23:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887497
IPEKE,866243,2020-08-06 21:59:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866243
IPEKE,847530,2020-05-28 22:49:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847530
IPEKE,822233,2020-02-27 19:59:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822233
