symbol,index,announcement_date,ruleType,summary,url
ISDMR,1506130,2025-10-20 18:11:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1506130
ISDMR,1473179,2025-08-06 18:11:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473179
ISDMR,1431022,2025-04-29 18:11:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431022
ISDMR,1392281,2025-02-12 18:16:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1392281
ISDMR,1350036,2024-10-22 18:15:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350036
ISDMR,1325434,2024-08-15 21:20:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325434
ISDMR,1284211,2024-05-09 18:11:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1284211
ISDMR,1251366,2024-02-22 18:11:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1251366
ISDMR,1210654,2023-10-26 19:30:50,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210654
ISDMR,1182220,2023-08-08 18:12:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182220
ISDMR,1144905,2023-05-02 18:13:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144905
ISDMR,1119913,2023-03-03 18:13:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1119913
ISDMR,1074415,2022-10-26 18:12:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074415
ISDMR,1053551,2022-08-09 18:12:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053551
ISDMR,1024374,2022-04-27 18:13:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024374
ISDMR,1000945,2022-02-10 18:51:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000945
ISDMR,972551,2021-10-26 18:19:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972551
ISDMR,956316,2021-08-09 18:54:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956316
ISDMR,932523,2021-04-29 18:15:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932523
ISDMR,909146,2021-02-11 18:26:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909146
ISDMR,883106,2020-10-22 18:15:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/883106
ISDMR,866136,2020-08-06 18:25:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866136
ISDMR,841211,2020-04-29 18:15:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841211
ISDMR,818449,2020-02-11 18:13:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818449
