symbol,index,announcement_date,ruleType,summary,url
ISGYO,1509214,2025-10-30 18:15:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509214
ISGYO,1471380,2025-08-01 18:21:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1471380
ISGYO,1432061,2025-04-30 18:23:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432061
ISGYO,1393039,2025-02-14 18:43:28,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393039
ISGYO,1351814,2024-10-30 18:38:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351814
ISGYO,1325806,2024-08-16 19:13:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325806
ISGYO,1287629,2024-05-17 18:20:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1287629
ISGYO,1251717,2024-02-23 20:17:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1251717
ISGYO,1211722,2023-10-30 18:16:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211722
ISGYO,1177727,2023-07-31 18:37:34,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1177727
ISGYO,1144942,2023-05-02 18:16:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144942
ISGYO,1106000,2023-01-30 19:05:59,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1106000
ISGYO,1074774,2022-10-27 18:20:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074774
ISGYO,1049414,2022-07-29 18:19:03,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1049414
ISGYO,1025789,2022-04-29 18:15:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025789
ISGYO,998067,2022-01-31 18:50:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/998067
ISGYO,972948,2021-10-27 18:21:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972948
ISGYO,954546,2021-08-03 18:27:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/954546
ISGYO,931998,2021-04-28 19:15:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931998
ISGYO,906370,2021-01-29 18:45:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/906370
ISGYO,885085,2020-10-30 18:22:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885085
ISGYO,863584,2020-07-29 18:15:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/863584
ISGYO,841910,2020-04-30 18:31:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841910
ISGYO,815620,2020-01-30 18:16:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/815620
