symbol,index,announcement_date,ruleType,summary,url
JANTS,1508748,2025-10-28 17:16:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508748
JANTS,1475205,2025-08-08 18:53:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1475205
JANTS,1432288,2025-04-30 19:23:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432288
JANTS,1397523,2025-02-28 18:50:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397523
JANTS,1351098,2024-10-25 20:47:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351098
JANTS,1335960,2024-09-19 18:44:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1335960
JANTS,1297272,2024-06-10 18:24:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1297272
JANTS,1254500,2024-03-04 18:18:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254500
JANTS,1211195,2023-10-30 08:24:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211195
JANTS,1181840,2023-08-08 08:37:00,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181840
JANTS,1144046,2023-05-02 08:22:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144046
JANTS,1117810,2023-02-28 18:47:48,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117810
JANTS,1075515,2022-10-31 18:28:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075515
JANTS,1053060,2022-08-08 18:15:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053060
JANTS,1025013,2022-04-28 18:18:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025013
JANTS,1005352,2022-02-28 18:53:00,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005352
JANTS,973639,2021-11-01 18:24:40,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973639
JANTS,955548,2021-08-06 18:17:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/955548
JANTS,932547,2021-04-29 18:19:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932547
JANTS,912978,2021-02-25 18:17:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/912978
JANTS,884656,2020-10-28 13:18:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884656
JANTS,866856,2020-08-07 18:58:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866856
JANTS,843766,2020-05-08 18:16:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/843766
JANTS,821220,2020-02-24 18:19:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/821220
