symbol,index,announcement_date,ruleType,summary,url
KARSN,1510812,2025-11-03 19:54:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1510812
KARSN,1480349,2025-08-19 03:07:54,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480349
KARSN,1437665,2025-05-12 18:26:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437665
KARSN,1405353,2025-03-11 23:59:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405353
KARSN,1356779,2024-11-11 19:35:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356779
KARSN,1339363,2024-10-01 00:44:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339363
KARSN,1299924,2024-06-14 23:01:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299924
KARSN,1274784,2024-04-18 23:06:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1274784
KARSN,1215891,2023-11-08 18:13:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215891
KARSN,1184145,2023-08-10 22:38:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184145
KARSN,1137914,2023-04-14 08:37:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1137914
KARSN,1121408,2023-03-08 03:28:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121408
KARSN,1077008,2022-11-04 19:54:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077008
KARSN,1055275,2022-08-12 22:38:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055275
KARSN,1028123,2022-05-09 23:01:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028123
KARSN,1008937,2022-03-10 01:58:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008937
KARSN,975364,2021-11-05 21:11:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975364
KARSN,958864,2021-08-17 22:57:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958864
KARSN,937352,2021-05-21 21:14:47,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/937352
KARSN,914705,2021-03-03 03:12:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914705
KARSN,885928,2020-11-03 18:35:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885928
KARSN,864052,2020-07-30 00:26:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/864052
KARSN,846641,2020-05-22 18:20:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/846641
KARSN,825207,2020-03-06 20:07:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/825207
