symbol,index,announcement_date,ruleType,summary,url
KIMMR,1509412,2025-10-30 18:53:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509412
KIMMR,1476219,2025-08-11 19:31:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1476219
KIMMR,1432323,2025-04-30 19:46:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432323
KIMMR,1399197,2025-03-03 20:04:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1399197
KIMMR,1351642,2024-10-30 18:13:52,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351642
KIMMR,1336593,2024-09-20 19:12:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336593
KIMMR,1298069,2024-06-11 19:14:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1298069
KIMMR,1284587,2024-05-09 22:44:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284587
KIMMR,1211950,2023-10-30 19:24:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211950
KIMMR,1182406,2023-08-08 19:06:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182406
KIMMR,1145308,2023-05-02 19:35:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1145308
KIMMR,1117779,2023-02-28 18:38:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117779
KIMMR,1075360,2022-10-31 18:11:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075360
KIMMR,1053636,2022-08-09 18:31:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053636
KIMMR,1026878,2022-05-05 18:57:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1026878
KIMMR,1004859,2022-02-25 20:33:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1004859
KIMMR,973571,2021-11-01 18:15:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973571
