symbol,index,announcement_date,ruleType,summary,url
KMPUR,1514441,2025-11-10 18:17:49,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514441
KMPUR,1478903,2025-08-15 08:20:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478903
KMPUR,1437593,2025-05-12 18:16:46,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437593
KMPUR,1404776,2025-03-11 20:14:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404776
KMPUR,1356446,2024-11-11 18:14:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356446
KMPUR,1337119,2024-09-24 08:09:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337119
KMPUR,1300403,2024-06-21 07:33:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300403
KMPUR,1278985,2024-04-29 19:52:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1278985
KMPUR,1214632,2023-11-06 18:47:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214632
KMPUR,1181211,2023-08-07 07:53:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181211
KMPUR,1147788,2023-05-08 08:05:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1147788
KMPUR,1120281,2023-03-06 06:56:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120281
KMPUR,1076036,2022-11-01 18:56:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076036
KMPUR,1051682,2022-08-04 08:03:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1051682
KMPUR,1027605,2022-05-09 07:43:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027605
