symbol,index,announcement_date,ruleType,summary,url
KONTR,1514918,2025-11-10 20:26:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514918
KONTR,1476560,2025-08-11 23:40:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1476560
KONTR,1436994,2025-05-09 22:04:14,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436994
KONTR,1403907,2025-03-10 23:33:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403907
KONTR,1356064,2024-11-08 21:24:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356064
KONTR,1327476,2024-08-23 23:01:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327476
KONTR,1289959,2024-05-22 23:47:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1289959
KONTR,1281411,2024-05-04 02:23:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1281411
KONTR,1216738,2023-11-09 21:41:25,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216738
KONTR,1186872,2023-08-18 03:43:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186872
KONTR,1150290,2023-05-11 04:07:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150290
KONTR,1120273,2023-03-05 02:48:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120273
KONTR,1076700,2022-11-03 22:24:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076700
KONTR,1055288,2022-08-13 21:06:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055288
KONTR,1028976,2022-05-10 22:54:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028976
KONTR,1003614,2022-02-22 22:40:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1003614
KONTR,974620,2021-11-03 21:03:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974620
KONTR,958744,2021-08-17 18:26:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958744
KONTR,958432,2021-08-16 19:31:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958432
KONTR,934717,2021-05-05 18:12:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934717
KONTR,910639,2021-02-17 20:37:00,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910639
KONTR,887396,2020-11-09 18:40:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887396
