symbol,index,announcement_date,ruleType,summary,url
KORDS,1508534,2025-10-27 21:00:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508534
KORDS,1473394,2025-08-06 22:17:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473394
KORDS,1432082,2025-04-30 18:26:53,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432082
KORDS,1397822,2025-02-28 23:49:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397822
KORDS,1351955,2024-10-30 20:06:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351955
KORDS,1326803,2024-08-21 22:08:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326803
KORDS,1292436,2024-05-29 20:16:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292436
KORDS,1260844,2024-03-21 05:51:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1260844
KORDS,1214156,2023-11-03 20:37:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214156
KORDS,1181815,2023-08-07 23:35:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181815
KORDS,1147688,2023-05-05 22:58:04,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1147688
KORDS,1116583,2023-02-24 01:18:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1116583
KORDS,1076073,2022-11-01 20:54:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076073
KORDS,1053846,2022-08-09 20:35:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053846
KORDS,1028029,2022-05-09 19:10:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028029
KORDS,1003327,2022-02-22 01:59:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1003327
KORDS,975473,2021-11-07 14:15:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975473
KORDS,974593,2021-11-03 18:52:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974593
KORDS,957136,2021-08-11 06:42:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957136
KORDS,934495,2021-05-04 18:48:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934495
KORDS,911277,2021-02-22 06:44:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911277
KORDS,885537,2020-11-03 02:05:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885537
KORDS,867021,2020-08-09 23:33:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867021
KORDS,842449,2020-05-04 23:58:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/842449
KORDS,820664,2020-02-21 00:45:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/820664
