symbol,index,announcement_date,ruleType,summary,url
KOZAL,1515783,2025-11-11 18:10:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515783
KOZAL,1476236,2025-08-11 19:42:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1476236
KOZAL,1441174,2025-05-22 18:11:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1441174
KOZAL,1407071,2025-03-14 18:58:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1407071
KOZAL,1359673,2024-11-21 18:11:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359673
KOZAL,1336616,2024-09-20 19:51:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336616
KOZAL,1310500,2024-07-09 18:10:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1310500
KOZAL,1284445,2024-05-09 20:14:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284445
KOZAL,1211643,2023-10-30 18:11:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211643
KOZAL,1182946,2023-08-09 18:17:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182946
KOZAL,1144922,2023-05-02 18:14:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144922
KOZAL,1118776,2023-03-01 21:41:22,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118776
KOZAL,1075427,2022-10-31 18:15:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075427
KOZAL,1054849,2022-08-11 20:33:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054849
KOZAL,1053804,2022-08-09 20:08:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053804
KOZAL,1025819,2022-04-29 18:21:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025819
KOZAL,1005882,2022-03-01 18:11:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005882
KOZAL,973507,2021-11-01 18:11:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973507
KOZAL,956151,2021-08-09 18:12:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956151
KOZAL,932511,2021-04-29 18:13:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932511
KOZAL,914135,2021-03-01 18:48:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914135
KOZAL,887493,2020-11-09 19:22:19,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887493
KOZAL,866236,2020-08-06 21:56:15,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866236
KOZAL,847536,2020-05-28 22:57:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847536
KOZAL,822225,2020-02-27 19:50:57,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822225
