symbol,index,announcement_date,ruleType,summary,url
KUTPO,1515104,2025-11-10 22:41:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515104
KUTPO,1481130,2025-08-20 01:15:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481130
KUTPO,1438260,2025-05-13 00:40:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438260
KUTPO,1405340,2025-03-11 23:57:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405340
KUTPO,1356933,2024-11-11 21:48:03,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356933
KUTPO,1339205,2024-09-30 20:44:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339205
KUTPO,1306186,2024-07-04 18:10:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1306186
KUTPO,1300742,2024-06-21 18:39:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300742
KUTPO,1288663,2024-05-20 23:16:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288663
KUTPO,1216767,2023-11-09 23:21:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216767
KUTPO,1188026,2023-08-21 22:01:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1188026
KUTPO,1150274,2023-05-10 23:40:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150274
KUTPO,1121243,2023-03-07 19:00:08,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121243
KUTPO,1078833,2022-11-09 18:31:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078833
KUTPO,1057364,2022-08-19 21:00:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057364
KUTPO,1028527,2022-05-10 18:13:14,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028527
KUTPO,1007918,2022-03-07 18:14:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1007918
KUTPO,976349,2021-11-09 18:11:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976349
KUTPO,959337,2021-08-19 18:14:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959337
KUTPO,941463,2021-06-09 18:11:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941463
KUTPO,914882,2021-03-03 18:11:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914882
KUTPO,887262,2020-11-09 18:10:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887262
KUTPO,870055,2020-08-19 18:41:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870055
KUTPO,850297,2020-06-09 18:33:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850297
KUTPO,824032,2020-03-03 20:23:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/824032
