symbol,index,announcement_date,ruleType,summary,url
MAGEN,1513453,2025-11-07 19:06:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513453
MAGEN,1481016,2025-08-19 20:20:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481016
MAGEN,1438091,2025-05-12 21:07:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438091
MAGEN,1405162,2025-03-11 23:04:07,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405162
MAGEN,1356606,2024-11-11 18:30:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356606
MAGEN,1331740,2024-09-09 08:15:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1331740
MAGEN,1300327,2024-06-20 19:16:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300327
MAGEN,1264037,2024-03-28 23:02:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1264037
MAGEN,1209099,2023-10-24 18:16:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1209099
MAGEN,1208719,2023-10-23 19:02:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1208719
MAGEN,1186838,2023-08-17 23:09:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186838
MAGEN,1140344,2023-04-20 18:38:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1140344
MAGEN,1124079,2023-03-13 22:16:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124079
MAGEN,1078702,2022-11-09 18:15:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078702
MAGEN,1054749,2022-08-11 18:30:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054749
MAGEN,1028986,2022-05-10 23:10:04,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028986
MAGEN,1002652,2022-02-18 03:48:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002652
MAGEN,976657,2021-11-09 21:31:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976657
