symbol,index,announcement_date,ruleType,summary,url
MGROS,1512496,2025-11-06 20:04:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512496
MGROS,1477134,2025-08-12 20:49:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477134
MGROS,1435069,2025-05-07 18:48:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435069
MGROS,1401143,2025-03-06 00:39:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401143
MGROS,1353860,2024-11-05 19:33:52,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353860
MGROS,1326522,2024-08-20 20:36:04,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326522
MGROS,1290387,2024-05-23 18:56:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1290387
MGROS,1260035,2024-03-18 22:33:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1260035
MGROS,1213717,2023-11-02 18:19:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213717
MGROS,1213314,2023-11-01 19:37:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213314
MGROS,1180045,2023-08-02 21:02:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1180045
MGROS,1146588,2023-05-03 21:08:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1146588
MGROS,1118047,2023-02-28 21:12:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118047
MGROS,1076670,2022-11-03 19:15:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076670
MGROS,1053826,2022-08-09 20:16:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053826
MGROS,1027901,2022-05-09 18:14:17,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027901
MGROS,1006281,2022-03-01 22:41:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006281
MGROS,975308,2021-11-05 18:30:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975308
MGROS,958071,2021-08-13 18:27:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958071
MGROS,934796,2021-05-05 20:02:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934796
MGROS,914342,2021-03-01 23:18:07,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914342
MGROS,886853,2020-11-06 18:40:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886853
MGROS,868196,2020-08-11 20:29:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868196
MGROS,843425,2020-05-07 18:18:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/843425
MGROS,843130,2020-05-06 18:25:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/843130
MGROS,823730,2020-03-02 22:27:00,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823730
