symbol,index,announcement_date,ruleType,summary,url
MIATK,1513584,2025-11-07 22:52:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513584
MIATK,1480865,2025-08-19 18:49:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480865
MIATK,1437952,2025-05-12 19:38:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437952
MIATK,1397871,2025-03-03 08:16:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397871
MIATK,1353908,2024-11-06 08:22:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353908
MIATK,1327563,2024-08-26 07:55:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327563
MIATK,1294431,2024-06-04 18:10:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1294431
MIATK,1258933,2024-03-14 21:15:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1258933
MIATK,1214621,2023-11-06 18:38:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214621
MIATK,1176965,2023-07-31 08:34:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1176965
MIATK,1140578,2023-04-24 19:43:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1140578
MIATK,1103944,2023-01-23 19:02:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1103944
MIATK,1073719,2022-10-24 19:25:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1073719
MIATK,1053092,2022-08-08 18:30:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053092
MIATK,1052026,2022-08-04 18:41:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1052026
MIATK,1024439,2022-04-27 18:30:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024439
MIATK,1000509,2022-02-08 19:24:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000509
MIATK,982983,2021-12-13 19:21:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/982983
