symbol,index,announcement_date,ruleType,summary,url
NTHOL,1514656,2025-11-10 18:35:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514656
NTHOL,1481043,2025-08-19 20:46:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481043
NTHOL,1438225,2025-05-12 23:43:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438225
NTHOL,1405442,2025-03-12 01:40:48,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405442
NTHOL,1356937,2024-11-11 21:53:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356937
NTHOL,1339341,2024-09-30 23:48:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339341
NTHOL,1299952,2024-06-15 05:46:53,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299952
NTHOL,1288783,2024-05-21 03:55:46,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1288783
NTHOL,1216454,2023-11-09 18:22:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216454
NTHOL,1187839,2023-08-21 18:48:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187839
NTHOL,1150081,2023-05-10 19:51:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150081
NTHOL,1124210,2023-03-13 23:34:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124210
NTHOL,1078978,2022-11-09 20:05:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078978
NTHOL,1057408,2022-08-19 23:06:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057408
NTHOL,1028913,2022-05-10 20:47:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028913
NTHOL,1010094,2022-03-11 23:24:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010094
NTHOL,976640,2021-11-09 21:12:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976640
NTHOL,959566,2021-08-19 23:06:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959566
NTHOL,941477,2021-06-09 18:16:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941477
NTHOL,923020,2021-04-02 19:49:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/923020
NTHOL,887571,2020-11-09 20:32:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887571
NTHOL,869220,2020-08-14 20:14:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869220
NTHOL,850421,2020-06-09 23:45:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850421
NTHOL,825914,2020-03-10 04:19:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/825914
