symbol,index,announcement_date,ruleType,summary,url
OTKAR,1510854,2025-11-03 21:43:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1510854
OTKAR,1467999,2025-07-29 22:58:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1467999
OTKAR,1430531,2025-04-28 20:39:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1430531
OTKAR,1389775,2025-02-06 02:44:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1389775
OTKAR,1352698,2024-11-01 18:12:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1352698
OTKAR,1319622,2024-08-01 07:25:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1319622
OTKAR,1285216,2024-05-10 20:10:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285216
OTKAR,1252096,2024-02-27 06:14:19,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1252096
OTKAR,1210044,2023-10-25 18:33:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210044
OTKAR,1208728,2023-10-23 19:23:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1208728
OTKAR,1175659,2023-07-26 22:24:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1175659
OTKAR,1142000,2023-04-27 18:12:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142000
OTKAR,1107744,2023-01-31 22:25:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1107744
OTKAR,1074433,2022-10-26 18:16:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074433
OTKAR,1049539,2022-07-29 19:21:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1049539
OTKAR,1024002,2022-04-26 18:13:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024002
OTKAR,999567,2022-02-04 18:13:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/999567
OTKAR,972544,2021-10-26 18:18:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972544
OTKAR,953411,2021-07-30 18:21:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/953411
OTKAR,930592,2021-04-22 18:12:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/930592
OTKAR,907554,2021-02-04 19:20:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/907554
OTKAR,884429,2020-10-27 18:17:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884429
OTKAR,863583,2020-07-29 18:15:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/863583
OTKAR,841878,2020-04-30 18:16:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/841878
OTKAR,817267,2020-02-05 19:26:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/817267
