symbol,index,announcement_date,ruleType,summary,url
OYAKC,1510796,2025-11-03 19:19:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1510796
OYAKC,1474145,2025-08-07 19:40:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1474145
OYAKC,1432441,2025-04-30 21:20:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432441
OYAKC,1399579,2025-03-03 23:35:34,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1399579
OYAKC,1356864,2024-11-11 20:24:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356864
OYAKC,1329872,2024-09-03 19:19:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1329872
OYAKC,1295158,2024-06-05 19:19:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1295158
OYAKC,1254131,2024-03-03 08:17:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254131
OYAKC,1216561,2023-11-09 18:46:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216561
OYAKC,1185836,2023-08-16 02:24:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185836
OYAKC,1149933,2023-05-10 18:45:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149933
OYAKC,1121378,2023-03-07 23:17:19,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121378
OYAKC,1077656,2022-11-07 19:00:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077656
OYAKC,1057333,2022-08-19 19:45:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057333
OYAKC,1025906,2022-04-29 18:45:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025906
OYAKC,1008016,2022-03-07 23:49:28,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008016
OYAKC,974601,2021-11-03 19:02:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974601
OYAKC,958832,2021-08-17 20:36:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958832
OYAKC,937358,2021-05-21 21:40:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/937358
OYAKC,915713,2021-03-05 23:49:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915713
OYAKC,887568,2020-11-09 20:25:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887568
OYAKC,870237,2020-08-19 23:50:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870237
OYAKC,844591,2020-05-12 19:15:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/844591
OYAKC,821252,2020-02-24 18:50:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/821252
