symbol,index,announcement_date,ruleType,summary,url
OZKGY,1515124,2025-11-10 23:17:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515124
OZKGY,1515122,2025-11-10 23:17:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515122
OZKGY,1480284,2025-08-18 21:48:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480284
OZKGY,1480283,2025-08-18 21:47:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480283
OZKGY,1436780,2025-05-09 18:31:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436780
OZKGY,1436744,2025-05-09 18:25:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436744
OZKGY,1406986,2025-03-14 18:10:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1406986
OZKGY,1403914,2025-03-10 23:45:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403914
OZKGY,1403913,2025-03-10 23:40:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403913
OZKGY,1356918,2024-11-11 21:32:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356918
OZKGY,1356821,2024-11-11 19:58:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356821
OZKGY,1339052,2024-09-30 18:45:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339052
OZKGY,1339051,2024-09-30 18:45:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339051
OZKGY,1300348,2024-06-20 19:43:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300348
OZKGY,1300347,2024-06-20 19:40:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300347
OZKGY,1277324,2024-04-26 02:05:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1277324
OZKGY,1277318,2024-04-26 01:55:19,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1277318
OZKGY,1215174,2023-11-07 18:10:57,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215174
OZKGY,1215171,2023-11-07 18:10:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215171
OZKGY,1187968,2023-08-21 20:26:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187968
OZKGY,1187967,2023-08-21 20:25:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187967
OZKGY,1150548,2023-05-11 18:21:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150548
OZKGY,1150542,2023-05-11 18:18:56,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150542
OZKGY,1149970,2023-05-10 18:53:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149970
OZKGY,1149961,2023-05-10 18:49:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149961
OZKGY,1121327,2023-03-07 20:58:05,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121327
OZKGY,1117387,2023-02-27 20:54:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117387
OZKGY,1117385,2023-02-27 20:53:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117385
OZKGY,1078440,2022-11-08 22:30:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078440
OZKGY,1078439,2022-11-08 22:29:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078439
OZKGY,1056127,2022-08-16 23:33:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056127
OZKGY,1056126,2022-08-16 23:32:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056126
OZKGY,1028837,2022-05-10 19:36:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028837
OZKGY,1028834,2022-05-10 19:36:00,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028834
OZKGY,1004915,2022-02-25 23:58:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1004915
OZKGY,1004914,2022-02-25 23:57:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1004914
OZKGY,975259,2021-11-05 18:12:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975259
OZKGY,975257,2021-11-05 18:12:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975257
OZKGY,958734,2021-08-17 18:23:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958734
OZKGY,957799,2021-08-12 20:50:52,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957799
OZKGY,957798,2021-08-12 20:49:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957798
OZKGY,935033,2021-05-06 18:43:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935033
OZKGY,935032,2021-05-06 18:42:10,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935032
OZKGY,914954,2021-03-03 19:37:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914954
OZKGY,914953,2021-03-03 19:36:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914953
OZKGY,886922,2020-11-06 19:42:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886922
OZKGY,886920,2020-11-06 19:41:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886920
OZKGY,868492,2020-08-12 23:26:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868492
OZKGY,868491,2020-08-12 23:26:00,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868491
OZKGY,850256,2020-06-09 18:26:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850256
