symbol,index,announcement_date,ruleType,summary,url
PAPIL,1508737,2025-10-28 15:16:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1508737
PAPIL,1481040,2025-08-19 20:42:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481040
PAPIL,1437648,2025-05-12 18:24:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437648
PAPIL,1404841,2025-03-11 20:40:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404841
PAPIL,1356454,2024-11-11 18:14:50,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356454
PAPIL,1338984,2024-09-30 18:15:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1338984
PAPIL,1299558,2024-06-14 18:11:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299558
PAPIL,1286359,2024-05-14 20:28:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1286359
PAPIL,1216522,2023-11-09 18:35:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216522
PAPIL,1186701,2023-08-17 19:28:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186701
PAPIL,1150014,2023-05-10 19:05:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150014
PAPIL,1124147,2023-03-13 23:00:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124147
PAPIL,1079000,2022-11-09 20:33:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079000
PAPIL,1056468,2022-08-17 19:41:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056468
PAPIL,1028900,2022-05-10 20:32:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028900
PAPIL,1002599,2022-02-17 20:51:04,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002599
PAPIL,976618,2021-11-09 20:37:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976618
PAPIL,958794,2021-08-17 19:05:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958794
PAPIL,939139,2021-05-31 18:34:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/939139
PAPIL,913731,2021-02-27 00:06:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/913731
PAPIL,885196,2020-10-30 19:17:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885196
PAPIL,866946,2020-08-07 22:49:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866946
PAPIL,848322,2020-06-01 20:01:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/848322
PAPIL,823131,2020-02-28 23:36:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823131
