symbol,index,announcement_date,ruleType,summary,url
PENTA,1511363,2025-11-04 20:11:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511363
PENTA,1479966,2025-08-18 18:16:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479966
PENTA,1434379,2025-05-06 19:59:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1434379
PENTA,1401005,2025-03-05 18:31:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401005
PENTA,1354474,2024-11-06 18:25:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354474
PENTA,1324533,2024-08-13 18:15:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1324533
PENTA,1282186,2024-05-06 20:38:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1282186
PENTA,1254576,2024-03-04 18:35:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254576
PENTA,1215917,2023-11-08 18:16:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215917
PENTA,1185731,2023-08-15 18:34:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185731
PENTA,1149095,2023-05-09 18:38:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149095
PENTA,1123038,2023-03-10 19:45:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123038
PENTA,1077682,2022-11-07 19:47:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077682
PENTA,1055637,2022-08-15 19:41:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055637
PENTA,1028617,2022-05-10 18:25:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028617
PENTA,1008890,2022-03-09 20:44:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008890
PENTA,974609,2021-11-03 19:43:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974609
PENTA,958806,2021-08-17 19:18:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958806
PENTA,941256,2021-06-08 20:15:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941256
