symbol,index,announcement_date,ruleType,summary,url
PETKM,1511943,2025-11-06 07:35:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511943
PETKM,1473428,2025-08-07 07:34:48,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473428
PETKM,1435204,2025-05-08 07:32:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435204
PETKM,1401155,2025-03-06 07:35:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401155
PETKM,1354642,2024-11-07 07:37:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354642
PETKM,1328767,2024-08-29 07:46:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1328767
PETKM,1292475,2024-05-30 07:33:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1292475
PETKM,1262304,2024-03-26 07:47:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1262304
PETKM,1215443,2023-11-08 07:40:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215443
PETKM,1183302,2023-08-10 07:35:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183302
PETKM,1148418,2023-05-09 07:49:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148418
PETKM,1118935,2023-03-02 07:26:34,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118935
PETKM,1077775,2022-11-08 07:40:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077775
PETKM,1054395,2022-08-11 07:31:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054395
PETKM,1027609,2022-05-09 07:50:54,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027609
PETKM,1004955,2022-02-28 07:49:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1004955
PETKM,975478,2021-11-08 07:45:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975478
PETKM,958514,2021-08-17 07:30:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958514
PETKM,935099,2021-05-07 07:54:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935099
PETKM,914566,2021-03-02 18:11:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914566
PETKM,886276,2020-11-05 07:57:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886276
PETKM,869266,2020-08-17 07:40:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869266
PETKM,845232,2020-05-15 07:36:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845232
PETKM,823173,2020-03-02 08:09:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823173
